ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0016209	Antioxidant activity	14/2969	72/14597	0.194444444444444	0.955980315107968	-0.189201520253197	0.621566224849801	0.999999862227987	0.961263786856635	LOC_00021242/LOC_00012873/LOC_00024526/LOC_00022836/LOC_00018397/LOC_00002908/LOC_00012502/LOC_00013951/LOC_00016292/LOC_00016174/LOC_00021106/LOC_00009218/LOC_00003427/LOC_00000198	14
GO:0001098	Basal transcription machinery binding	6/2969	31/14597	0.193548387096774	0.951574875867838	-0.136380083295691	0.625091188617216	0.999999862227987	0.961263786856635	LOC_00000187/LOC_00024918/LOC_00002523/LOC_00016598/LOC_00005667/LOC_00004185	6
GO:0001099	Basal RNA polymerase II transcription machinery binding	6/2969	31/14597	0.193548387096774	0.951574875867838	-0.136380083295691	0.625091188617216	0.999999862227987	0.961263786856635	LOC_00000187/LOC_00024918/LOC_00002523/LOC_00016598/LOC_00005667/LOC_00004185	6
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	6/2969	31/14597	0.193548387096774	0.951574875867838	-0.136380083295691	0.625091188617216	0.999999862227987	0.961263786856635	LOC_00008380/LOC_00016505/LOC_00000094/LOC_00005463/LOC_00008381/LOC_00003020	6
GO:0008483	Transaminase activity	6/2969	31/14597	0.193548387096774	0.951574875867838	-0.136380083295691	0.625091188617216	0.999999862227987	0.961263786856635	LOC_00018126/LOC_00005379/LOC_00017427/LOC_00006835/LOC_00006836/LOC_00021456	6
GO:0016769	Transferase activity, transferring nitrogenous groups	6/2969	31/14597	0.193548387096774	0.951574875867838	-0.136380083295691	0.625091188617216	0.999999862227987	0.961263786856635	LOC_00018126/LOC_00005379/LOC_00017427/LOC_00006835/LOC_00006836/LOC_00021456	6
GO:0030170	Pyridoxal phosphate binding	12/2969	62/14597	0.193548387096774	0.951574875867838	-0.193076129409259	0.626627311456466	0.999999862227987	0.961263786856635	LOC_00003581/LOC_00009824/LOC_00005494/LOC_00018126/LOC_00006835/LOC_00006836/LOC_00010567/LOC_00024560/LOC_00012783/LOC_00012697/LOC_00021456/LOC_00025500	12
GO:0044183	Protein folding chaperone	12/2969	62/14597	0.193548387096774	0.951574875867838	-0.193076129409259	0.626627311456466	0.999999862227987	0.961263786856635	LOC_00012991/LOC_00005850/LOC_00012992/LOC_00002402/LOC_00012403/LOC_00006337/LOC_00010498/LOC_00025704/LOC_00021713/LOC_00011922/LOC_00005775/LOC_00003215	12
GO:0070279	Vitamin B6 binding	12/2969	62/14597	0.193548387096774	0.951574875867838	-0.193076129409259	0.626627311456466	0.999999862227987	0.961263786856635	LOC_00003581/LOC_00009824/LOC_00005494/LOC_00018126/LOC_00006835/LOC_00006836/LOC_00010567/LOC_00024560/LOC_00012783/LOC_00012697/LOC_00021456/LOC_00025500	12
GO:0005198	Structural molecule activity	85/2969	429/14597	0.198135198135198	0.974125795614512	-0.274859587889648	0.627628836767359	0.999999862227987	0.961263786856635	LOC_00011709/LOC_00024086/LOC_00015016/LOC_00000221/LOC_00012505/LOC_00011119/LOC_00017401/LOC_00010668/LOC_00014208/LOC_00024561/LOC_00019893/LOC_00019064/LOC_00005153/LOC_00011859/LOC_00000965/LOC_00008338/LOC_00020803/LOC_00015987/LOC_00019909/LOC_00012885/LOC_00011211/LOC_00008525/LOC_00010327/LOC_00004421/LOC_00017935/LOC_00007280/LOC_00024095/LOC_00003057/LOC_00009213/LOC_00014481/LOC_00002392/LOC_00020453/LOC_00009378/LOC_00012945/LOC_00021666/LOC_00006771/LOC_00008299/LOC_00017009/LOC_00005389/LOC_00012711/LOC_00016854/LOC_00003880/LOC_00004634/LOC_00017816/LOC_00003750/LOC_00012921/LOC_00018561/LOC_00011596/LOC_00017402/LOC_00019631/LOC_00000372/LOC_00018262/LOC_00014084/LOC_00009379/LOC_00012442/LOC_00000383/LOC_00014262/LOC_00009220/LOC_00005799/LOC_00017002/LOC_00024213/LOC_00021167/LOC_00004339/LOC_00014491/LOC_00006055/LOC_00022702/LOC_00003470/LOC_00024230/LOC_00013556/LOC_00008032/LOC_00018726/LOC_00012085/LOC_00023415/LOC_00000863/LOC_00015865/LOC_00003653/LOC_00005076/LOC_00020176/LOC_00018578/LOC_00002723/LOC_00022651/LOC_00009881/LOC_00023578/LOC_00013317/LOC_00013691	85
