motif_id	motif_name	tf_class
MA2313.1	hng1	More than 3 adjacent zinc fingers
MA2314.1	hr3	Thyroid hormone receptor-related factors (NR1)
MA2315.1	insv	
MA2316.1	l(3)neo38	Three-zinc finger Kruppel-related
MA2317.1	nau	MyoD/ASC-related factors
MA2318.1	pita	More than 3 adjacent zinc fingers
MA2319.1	run	Runt-related factors
MA2320.1	Sox100B	SOX-related factors
MA2321.1	tx	Tal-related
MA2322.1	ZIPIC	More than 3 adjacent zinc fingers
MA2323.1	Pgr	Steroid hormone receptors (NR3)
MA2324.1	BCL11A	Factors with multiple dispersed zinc fingers
MA2325.1	EPAS1	PAS domain factors
MA2326.1	IKZF2	Factors with multiple dispersed zinc fingers
MA2327.1	PGR	Steroid hormone receptors (NR3)
MA2328.1	ZBED4	BED zinc finger factors
MA2329.1	ZBTB11	More than 3 adjacent zinc fingers
MA2330.1	ZBTB24	More than 3 adjacent zinc fingers
MA2331.1	ZNF157	More than 3 adjacent zinc fingers
MA2332.1	ZNF175	More than 3 adjacent zinc fingers
MA2333.1	ZNF35	More than 3 adjacent zinc fingers
MA2334.1	ZNF547	More than 3 adjacent zinc fingers
MA2335.1	ZNF558	More than 3 adjacent zinc fingers
MA2336.1	ZSCAN21	More than 3 adjacent zinc fingers
MA2337.1	Nr1h3	Thyroid hormone receptor-related factors (NR1)
MA2338.1	Ppara	Thyroid hormone receptor-related factors (NR1)
MA2339.1	Nanog	NK
MA2340.1	Zbtb2	Factors with multiple dispersed zinc fingers
MA2341.1	FEZF2	More than 3 adjacent zinc fingers
MA0529.3	BEAF-32	Zinc finger, BED-type
MA0010.2	br	Other factors with up to three adjacent zinc fingers
MA0011.2	br	Other factors with up to three adjacent zinc fingers
MA0012.2	br	Other factors with up to three adjacent zinc fingers
MA0443.2	btd	Other factors with up to three adjacent zinc fingers
MA0015.2	Cf2	Factors with multiple dispersed zinc fingers
MA0184.2	CG9876	Paired-related HD factors
MA0530.2	cnc::maf-S	Jun-related
MA0531.2	CTCF	More than 3 adjacent zinc fingers
MA0185.2	Deaf1	DEAF
MA1455.2	dmrt99B	DMRT factors
MA1456.2	Dref	BED zinc finger factors
MA1836.2	dsx	DMRT factors
MA0915.2	dve	HD-CUT
MA0189.2	E5	NK
MA1837.2	Elba1	
MA1838.2	Elba2	
MA0222.2	exd	TALE-type homeo domain factors
MA1839.2	GATAd	C4-GATA-related
MA1840.2	gcm	GCM
MA1457.2	grh	Grainyhead-related factors
MA1458.2	Hsf	HSF factors
MA1841.2	kn	EBF-related
MA0451.2	kni	Thyroid hormone receptor-related factors (NR1)
MA0452.3	Kr	More than 3 adjacent zinc fingers
MA0195.2	Lim3	HD-LIM
MA1459.2	M1BP	More than 3 adjacent zinc fingers
MA0197.3	nub	POU domain factors
MA0126.2	ovo	More than 3 adjacent zinc fingers
MA1702.2	Pdp1	CEBP-related
MA0457.2	PHDP	Paired-related HD factors
MA1460.2	pho	More than 3 adjacent zinc fingers
MA0536.2	pnr	C4-GATA-related
MA0200.2	Pph13	Paired-related HD factors
MA0239.2	prd	
MA0243.2	sd	TEF-1-related factors
MA0458.2	slp1	FOX
MA0086.3	sna	More than 3 adjacent zinc fingers
MA0532.2	Stat92E	STAT factors
MA1461.2	sv	Paired domain only
MA0247.3	tin	Homeo
MA0205.3	Trl	More than 3 adjacent zinc fingers
MA0249.3	twi	Tal-related
MA0094.3	Ubx	HOX
MA0016.2	usp	RXR-related receptors (NR2)
MA1462.2	vfl	More than 3 adjacent zinc fingers
MA0252.2	vis	TALE-type homeo domain factors
MA0255.2	z	
MA0257.2	zen2	HOX
MA1438.2	atf-7	Jun-related
MA1444.2	cebp-1	CEBP-related
MA0264.2	ceh-22	NK
MA1699.2	ceh-38	HD-CUT
MA0921.2	ceh-48	HD-CUT
MA0538.2	daf-12	C4-GATA-related
MA1446.2	daf-16	FOX
MA0919.2	dsc-1	Paired-related HD factors
MA0541.2	efl-1	E2F
MA1701.2	elt-2	C4-GATA-related
MA1439.2	elt-6	C4-GATA-related
MA0543.2	eor-1	More than 3 adjacent zinc fingers
MA0920.2	fkh-2	FOX
MA0545.2	hlh-1	MyoD/ASC-related factors
MA1449.2	hlh-30	bHLH-ZIP
MA0923.2	lim-4	HD-LIM
MA1441.2	lim-7	HD-LIM
MA1450.2	lin-54	
MA1703.2	pqm-1	Factors with multiple dispersed zinc fingers
MA0547.2	skn-1	Jun-related
MA0925.2	sma-4	SMAD factors
MA1443.2	unc-30	Paired-related HD factors
MA0918.2	unc-62	TALE-type homeo domain factors
MA0928.2	zfh-2	HD-ZF factors
MA1704.2	zip-8	Jun-related
MA1843.2	AP4	bHLH-ZIP
MA1844.2	Atbf	HOX
MA1845.2	Atoh7	Tal-related
MA1846.2	Brachyury	Brachyury-related factors
MA1847.2	Bsx	NK
MA1848.2	Cebpg	CEBP-related
MA1849.2	Creb1	CREB-related factors
MA1850.2	Dlx-b	NK
MA1851.2	Dlx-c	NK
MA1852.2	Emx	NK
MA1853.2	Erf-a	Ets-related
MA1854.2	Etv1/4/5	Ets-related
MA1855.2	Fli-Erg-a	Ets-related
MA1856.2	Fli-Erg-b	Ets-related
MA1857.2	Fli-Erg-c	Ets-related
MA1858.2	Fos-b	Fos-related
MA1859.2	FoxA-a	FOX
MA1860.2	FoxA-b	FOX
MA1861.2	FoxB	FOX
MA1862.2	FoxD-b	FOX
MA1863.2	FoxE	FOX
MA1864.2	FoxF	FOX
MA1865.2	FoxG	FOX
MA1866.2	FoxI-a	FOX
MA1867.2	FoxI-b	FOX
MA1868.2	FoxI-c	FOX
MA1869.2	FoxK	FOX
MA1870.2	FoxL2	FOX
MA1871.2	FoxM	FOX
MA1872.2	FoxO	FOX
MA1873.2	FoxQ	FOX
MA1874.2	GATA-a	C4-GATA-related
MA1875.2	GATA1/2/3	C4-GATA-related
MA1877.2	Hes-b	Hairy-related factors
MA1878.2	Hes-c	Hairy-related factors
MA1879.2	Hex	
MA1880.2	Hey	Hairy-related factors
MA1881.2	Hmbox1	POU domain factors
MA1882.2	Hnf1	POU domain factors
MA1883.2	Hox1	HOX
MA1884.2	Hox3	HOX
MA1885.2	Hox4	HOX
MA1886.2	Hox5	HOX
MA1887.2	Hsf1-2-4	HSF factors
MA1888.2	Irf-b	Interferon-regulatory factors
MA1889.2	Isx	Paired-related HD factors
MA1891.2	Klf3/8/12	Three-zinc finger Kruppel-related
MA1892.2	Klf5-like	Three-zinc finger Kruppel-related
MA1894.2	large-Maf	Maf-related
MA1895.2	Lhx3/4	HD-LIM
MA1896.2	Lmx-b	HD-LIM
MA0118.2	Macho-1	
MA1897.2	Max	bHLH-ZIP
MA1898.2	Meox	HOX
MA1899.2	Mitf	bHLH-ZIP
MA1900.2	Mnx	HOX
MA1901.2	Msx	NK
MA1902.2	NFkb	NF-kappaB-related factors
MA1903.2	Nk-1	NK
MA1904.2	Nk-3	NK
MA1905.2	Nkx3	NK
MA1906.2	Noto	NK
MA1907.2	Otp	Paired-related HD factors
MA1908.2	Otx	Paired-related HD factors
MA1909.2	Prop	Paired-related HD factors
MA1910.2	Rax	Paired-related HD factors
MA1911.2	Rel	NF-kappaB-related factors
MA1912.2	Six3/6	HD-SINE
MA1913.2	small-Maf	Maf-related
MA1914.2	Snail	More than 3 adjacent zinc fingers
MA1915.2	SoxB1	SOX-related factors
MA1916.2	SoxB2	SOX-related factors
MA1917.2	SoxC	SOX-related factors
MA1918.2	SoxF	SOX-related factors
MA1919.2	Tbox-a	TBX1-related factors
MA1920.2	Tbox-b	TBX1-related factors
MA1921.2	Tbx15/18/22	TBX1-related factors
MA1922.2	Tbx2/3	TBX2-related factors
MA1923.2	Tcf3-4-12	E2A
MA1924.2	Tlx	NK
MA1925.2	Uncx-b	Paired-related HD factors
MA1926.2	Usf	bHLH-ZIP
MA1927.2	YY1-2	More than 3 adjacent zinc fingers
MA0619.2	LIN54	tesmin/TSO1-family
MA0006.2	Ahr::Arnt	PAS domain factors
MA0854.2	Alx1	Paired-related HD factors
MA0634.2	ALX3	Paired-related HD factors
MA0853.2	Alx4	Paired-related HD factors
MA0690.3	TBX21	TBrain-related factors
MA0007.4	Ar	Steroid hormone receptors (NR3)
MA1463.2	ARGFX	Paired-related HD factors
MA0601.2	Arid3b	ARID-related
MA0602.2	Arid5a	ARID-related
MA0259.2	ARNT::HIF1A	PAS domain factors
MA1464.2	ARNT2	PAS domain factors
MA0603.2	Arntl	PAS domain factors
MA0874.2	Arx	Paired-related HD factors
MA1100.3	ASCL1	MyoD/ASC-related factors
MA1631.2	ASCL1	MyoD/ASC-related factors
MA1632.2	ATF2	Jun-related
MA1988.2	Atf3	Fos-related
MA0605.3	ATF3	Fos-related
MA0833.3	ATF4	ATF-4-related factors
MA1466.2	ATF6	Jun-related
MA0834.2	ATF7	Jun-related
MA0461.3	Atoh1	Tal-related
MA1467.3	Atoh1	Tal-related
MA0591.2	Bach1::Mafk	Jun-related
MA0496.4	MAFK	Maf-related
MA1101.3	BACH2	Jun-related
MA1470.2	BACH2	Jun-related
MA0877.4	BARHL1	NK
MA0635.2	BARHL2	NK
MA0875.2	BARX1	NK
MA1471.2	BARX2	NK
MA1634.2	BATF	B-ATF-related factors
MA0462.3	BATF::JUN	B-ATF-related factors
MA0489.3	Jun	Jun-related
MA0488.2	JUN	Jun-related
MA0835.3	BATF3	B-ATF-related factors
MA1989.2	Bcl11B	Factors with multiple dispersed zinc fingers
MA0463.3	BCL6	More than 3 adjacent zinc fingers
MA1472.3	Bhlha15	Tal-related
MA1635.2	BHLHE22	Tal-related
MA0817.2	BHLHE23	Tal-related
MA0464.3	BHLHE40	Hairy-related factors
MA1928.2	BNC2	Factors with multiple dispersed zinc fingers
MA0876.2	BSX	NK
MA0465.3	CDX2	HOX
MA1473.2	CDX4	HOX
MA0102.5	CEBPA	CEBP-related
MA0466.4	CEBPB	CEBP-related
MA0836.3	CEBPD	CEBP-related
MA0837.3	CEBPE	CEBP-related
MA1636.2	CEBPG	CEBP-related
MA0819.3	CLOCK	PAS domain factors
MA0018.5	CREB1	CREB-related factors
MA0638.2	CREB3	CREB-related factors
MA0839.2	CREB3L1	CREB-related factors
MA1474.2	CREB3L4	CREB-related factors
MA1475.2	CREB3L4	CREB-related factors
MA0840.2	Creb5	CREB-related factors
MA0609.3	CREM	CREB-related factors
MA0467.3	Crx	Paired-related HD factors
MA0139.2	CTCF	More than 3 adjacent zinc fingers
MA1929.2	CTCF	More than 3 adjacent zinc fingers
MA1930.2	CTCF	More than 3 adjacent zinc fingers
MA1102.3	CTCFL	More than 3 adjacent zinc fingers
MA0754.3	CUX1	HD-CUT
MA0650.4	Hoxa13	HOX
MA0901.3	HOXB13	HOX
MA0755.2	CUX2	HD-CUT
MA0639.2	DBP	CEBP-related
MA0019.2	Ddit3::Cebpa	CEBP-related
MA0879.3	DLX1	NK
MA0885.3	Dlx2	NK
MA0880.2	Dlx3	NK
MA0881.2	Dlx4	NK
MA1476.3	Dlx5	NK
MA0882.2	DLX6	NK
MA0883.2	Dmbx1	Paired-related HD factors
MA1603.2	Dmrt1	DMRT factors
MA0610.2	DMRT3	DMRT factors
MA1707.2	DMRTA1	DMRT factors
MA1478.2	DMRTA2	DMRT factors
MA1479.2	DMRTC2	DMRT factors
MA1480.2	DPRX	Paired-related HD factors
MA1481.2	DRGX	Paired-related HD factors
MA0611.3	Dux	Paired-related HD factors
MA0864.3	E2F2	E2F
MA0469.4	E2F3	E2F
MA0756.3	ONECUT2	HD-CUT
MA0470.3	E2F4	E2F
MA0471.3	E2F6	E2F
MA0865.3	E2F8	E2F
MA0154.5	EBF1	Early B-Cell Factor-related factors
MA1604.2	Ebf2	Early B-Cell Factor-related factors
MA1637.2	EBF3	Early B-Cell Factor-related factors
MA0162.5	EGR1	Three-zinc finger Kruppel-related
MA0732.2	EGR3	Three-zinc finger Kruppel-related
MA0733.2	EGR4	Three-zinc finger Kruppel-related
MA0598.4	EHF	Ets-related
MA0473.4	ELF1	Ets-related
MA1483.3	ELF2	Ets-related
MA0640.3	ELF3	Ets-related
MA0136.4	Elf5	Ets-related
MA0028.3	ELK1	Ets-related
MA0800.2	EOMES	TBrain-related factors
MA1708.2	ETV7	Ets-related
MA1495.2	HOXA1	HOX
MA1932.2	ELK1::HOXB13	Ets-related
MA0779.2	PAX1	Paired domain only
MA0014.4	PAX5	Paired domain only
MA0781.2	PAX9	Paired domain only
MA0686.2	SPDEF	Ets-related
MA1933.2	ELK1::SREBF2	Ets-related
MA0828.3	SREBF2	bHLH-ZIP
MA0843.2	TEF	CEBP-related
MA0759.3	ELK3	Ets-related
MA0076.3	ELK4	Ets-related
MA0612.3	EMX1	NK
MA0886.2	EMX2	NK
MA0027.3	EN1	NK
MA0642.3	EN2	NK
MA0760.2	ERF	Ets-related
MA1934.2	ERF::FIGLA	Ets-related
MA0820.2	FIGLA	Tal-related
MA1935.2	ERF::FOXI1	Ets-related
MA1936.2	ERF::FOXO1	Ets-related
