gene_id	mean_beta	n_cpgs	expression	prom_beta	exon_beta	down_beta	intron_beta
LOC_00018468	0.798672478440812	112	4.59270493918927	0.0039737108190091	0.751617947618205	0.915341027570688	0.810832638091599
LOC_00018470	0.677057699785903	890	7.90301998495783	0.00982757304836368	0.712903647284431	0.938168847815772	0.669986818445652
LOC_00018471	0.868547530594752	237	12.1798573404762	0.00213903743315508	0.714752648196626	0.893290145143328	0.885069186036337
LOC_00018472	0.680133389132271	1351	9.5107631458812	0.00530425456896045	0.757136685745643	0.752280572344871	0.678948874609081
LOC_00018473	0.044052602270694	1151	1.97134945269048	0.00192307692307692	0.00319455893872949	0.00392565710017798	0.0491693429232117
LOC_00018474	0.00565608100692031	1579	1.29165764404875	0.005221060216411	0.00330399295922516	0.0018	0.00585828940166715
LOC_00018475	0.512614102476618	1788	8.95484715315148	0.00173128858024691	0.479246539125915	0.16274715702164	0.528170347555888
LOC_00018476	0.754949955796076	3789	7.43296842473049	0.0192642033892034	0.648396677957598	0.00213675213675214	0.757793682158228
LOC_00018477	0.00147825465971578	67	1.24530459706182	0.000683994528043776	0.00147825465971578	0.0058375104427736	
LOC_00018478	0.00476400675384214	2914	5.34636051570276	0.00170384888372693	0.00500581131136177	0	0.00481499098875071
LOC_00018479	0.0048467337496152	2841	7.56993106421921	0.00170384888372693		0	
LOC_00018480	0.00326869798126809	1588	1.44753354120781	0.00256753760590078	0.00310971371056184	0.00205374547479811	0.00329658487368749
LOC_00018481	0.00330502123941513	1516	1.09280861094291	0.00221666093830555	0.00399399709031846	0.00261640211288549	0.00322666926197185
LOC_00018482	0.819237547329152	448	9.67016705288518	0.00368797868797869	0.690032271465873	0.732604410745008	0.881485835128026
LOC_00018483	0.918135254652026	898	10.340289801574	0.00262128325508607	0.880239465590203	0.0356725836032884	0.92949081725682
LOC_00018484	0.856372009752239	210	4.86572228726534	0.61912580511433	0.913429509433177	0.8477364480179	0.833012899144605
LOC_00018485	0.931166056166056	4	5.09228752677104	0.864601290010954	0.931166056166056	0.940458484703605	
LOC_00018486	0.521929622300205	2045	8.94747434365921	0.00391184573002755	0.801634366362352	0.843759749694643	0.497009391183212
LOC_00018487	0.681009478513982	190	3.72608413034112	0.00391184573002755		0.00141666666666667	
LOC_00018488	0.00288150356410842	319	3.80502785347275		0.00267094017094017	0	0.00290018837032813
LOC_00018489	0.00391976274441493	411	3.09471678929439	0.000850340136054422	0.0115740740740741	0.000811688311688312	0.00364736318507038
LOC_00018491	0.00360935567170695	380	1.34598086109658	0.00409108087679516	0.00418192863528448	0.00339235223870112	0.00349230777355101
LOC_00018492	0.0648158715819374	518	4.68449057223032	0.00425170068027211	0.0614331248430865	0.788539706948363	0.0652095533144761
LOC_00018494	0.0026545773326932	321	1.52284259164133	0.000740740740740741	0.00167250319689344	0	0.00277250820304397
LOC_00018495	0.127291760069577	328	10.682055870156	0	0.331232945573036	0.912329438531527	0.0498772070010348
LOC_00018496	0.924386490430258	609	10.6792347987461	0.00227481857916641	0.904601747979483	0.92846696855932	0.929584578598921
LOC_00018497	0.749332212186905	526	4.48417184420875	0	0.76508543416826	0.843784680912633	0.751627967534221
LOC_00018498	0.91838768115942	6	3.61806169558431	0.970801320653809		0.938592445889143	
LOC_00018499	0.84548206677742	775	6.50081592045116	0	0.780351781618689	0.939621569034447	0.858820696390318
LOC_00018500	0.00676985141674902	1190	2.98806410497353	0.00328947368421053	0.00369458128078818	0.00251761557336113	0.00684666694986088
LOC_00018502	0.0030645862774014	350	5.33173636859142	0	0.00212044105173876	0.143300642189027	0.00328773347958311
LOC_00018503	0.87821877528584	324	7.89358742433258	0.00425475934949917	0.889059904453234	0.455306971647814	0.886219767404349
LOC_00018504	0.87526465471412	198	6.39758972734567	0.00874494684237331	0.866415665559816	0.918726010688085	0.874957652956823
LOC_00018505	0.880649269995615	695	9.09579662419881	0.00197653512815785	0.902925042812492	0.914833585813379	0.878682870695885
LOC_00018507	0.817916408969554	229	8.11825541250476	0.000641025641025641	0.631356197964094	0.931194532053578	0.859817632831742
