gene_id	mean_beta	n_cpgs	expression
LOC_00005742	0.00555555555555556	18	3.47992109663439
LOC_00005743	0.00317068749052723	629	1.33136815473843
LOC_00005744	0.139106773876279	386	1.15309853791622
LOC_00005746	0.427718148768304	1537	6.93794916713678
LOC_00005745	0.884707140773505	5	0.932623939810295
LOC_00005747	0.0039274770621167	1370	3.21268447630268
LOC_00005750	0.375680304639628	2457	9.6213547385836
LOC_00005751	0.426870830226306	843	7.76271580013636
LOC_00005753	0.768463761483027	106	5.44974613471859
LOC_00005754	0.953190383080699	111	7.97260262870514
LOC_00005755	0.816928625130213	91	6.57590749512204
LOC_00005756	0.704434932936645	66	3.38177031900938
LOC_00005757	0.00295041543435235	4247	7.08866092853384
LOC_00005758	0.813370586410891	176	5.28109438557269
LOC_00005759	0.837941034975565	61	4.60418476069538
LOC_00005760	0.846513587662756	237	9.95605332097635
LOC_00005761	0.763330755110137	131	6.44703043274992
LOC_00005762	0.830239574328615	249	7.01204232570703
LOC_00005763	0.848352220396689	412	8.61270323587491
LOC_00005764	0.00330061083436522	421	3.05403542154053
LOC_00005765	0.00259590949480321	1001	8.04238373100044
LOC_00005766	0.00228965375370237	236	2.41961283609756
LOC_00005767	0.00347028386143769	444	5.7288991730171
LOC_00005768	0.000910442214790041	45	7.61312420817708
LOC_00005769	0.00315814941104728	1116	4.50881351374168
LOC_00005770	0.771519396414956	134	6.68244486725324
LOC_00005771	0.0126999150246799	808	0.932623939810295
LOC_00005773	0.00285403017014897	3241	4.41182112416715
LOC_00005774	0.836173104984016	73	8.92929729686569
LOC_00005775	0.921112227677074	289	8.66834502353885
LOC_00005776	0.00168463300481229	67	2.71070550339331
LOC_00005777	0.00201164386836901	135	3.8114748925452
LOC_00005778	0.00339315475934252	487	2.87707321775375
LOC_00005779	0.00368580951682601	2024	2.48829318626089
LOC_00005780	0.00271338445857724	1827	3.62365948347867
LOC_00005781	0.00384381847990266	567	3.08366741667798
LOC_00005782	0.00278368390690151	146	1.30559452403514
XLOC_013529U_lncRNA	0.00336129458935112	187	0.932623939810295
LOC_00005783	0.851679707095672	430	7.6010937090649
LOC_00005784	0.907066779329852	650	6.48906652269345
LOC_00005785	0.848799162950246	282	5.03358384330591
LOC_00005786	0.91986227267638	453	7.66147076501735
LOC_00005787	0.952237614805134	31	3.51012333835596
LOC_00005788	0.791439741468116	13	1.31170329937712
LOC_00005790	0.215026476531439	2277	8.92739982727254
LOC_00005791	0.704365299873886	750	8.33836658764356
LOC_00005792	0.902885460459293	306	7.71525838384093
LOC_00005793	0.826566634379248	166	6.81304705069321
LOC_00005795	0.0283068783068783	9	2.78761970497149
LOC_00005796	0	17	3.17968225769332
LOC_00005797	0.00413011803993595	47	4.20576678021019
LOC_00005798	0.00425577334429724	414	2.93128189214305
LOC_00005799	0.4127822531102	1135	9.2273331191099
LOC_00005800	0.0305744425915664	2273	6.83062763552275
