gene_id	module
LOC_00000787	brown
LOC_00000788	brown
LOC_00000789	red
LOC_00000790	yellow
LOC_00000791	brown
LOC_00000792	brown
LOC_00000793	yellow
LOC_00000794	red
LOC_00000795	turquoise
LOC_00000796	brown
LOC_00000797	red
LOC_00000798	brown
LOC_00000801	yellow
LOC_00000802	turquoise
LOC_00000803	brown
LOC_00000804	blue
LOC_00000805	turquoise
LOC_00000806	brown
LOC_00000808	turquoise
LOC_00000810	blue
LOC_00000811	blue
LOC_00000814	blue
LOC_00000815	blue
LOC_00000817	turquoise
LOC_00000818	turquoise
LOC_00000819	green
LOC_00000821	turquoise
LOC_00000823	grey
LOC_00000826	turquoise
LOC_00000827	tan
LOC_00000830	turquoise
LOC_00000832	purple
LOC_00000835	turquoise
LOC_00000837	brown
LOC_00000838	red
LOC_00000841	blue
LOC_00000843	yellow
LOC_00000845	yellow
LOC_00000846	black
LOC_00000847	turquoise
LOC_00000849	turquoise
LOC_00000850	turquoise
LOC_00000851	black
LOC_00000854	blue
LOC_00000858	red
LOC_00000863	turquoise
LOC_00000865	lightcyan
LOC_00000867	greenyellow
LOC_00000868	blue
LOC_00000869	black
LOC_00000870	grey
LOC_00000871	brown
LOC_00000872	blue
LOC_00000874	blue
LOC_00000875	pink
LOC_00000876	brown
LOC_00000879	yellow
LOC_00000881	turquoise
LOC_00000888	black
LOC_00000892	brown
LOC_00000893	turquoise
LOC_00000894	turquoise
LOC_00000895	turquoise
LOC_00000896	magenta
LOC_00000901	brown
LOC_00000905	blue
LOC_00000906	blue
LOC_00000907	turquoise
LOC_00000908	pink
LOC_00000910	red
LOC_00000912	red
LOC_00000914	brown
LOC_00000915	turquoise
LOC_00000916	turquoise
LOC_00000917	purple
LOC_00000918	green
LOC_00000919	green
LOC_00000920	brown
LOC_00000923	turquoise
LOC_00000925	turquoise
LOC_00000926	grey
LOC_00000928	turquoise
LOC_00000929	turquoise
LOC_00000931	grey
LOC_00000932	turquoise
LOC_00000936	black
LOC_00000937	black
LOC_00000938	red
LOC_00000939	brown
LOC_00000940	black
LOC_00000941	black
LOC_00000942	blue
LOC_00000944	blue
LOC_00000945	turquoise
LOC_00000948	green
LOC_00000951	yellow
LOC_00000952	yellow
LOC_00000953	turquoise
LOC_00000954	yellow
LOC_00000957	brown
LOC_00000958	green
LOC_00000960	yellow
LOC_00000961	green
LOC_00000962	yellow
LOC_00000963	black
LOC_00000964	green
LOC_00000965	green
LOC_00000966	red
LOC_00000967	grey
LOC_00000970	blue
LOC_00000972	turquoise
LOC_00000973	grey
LOC_00000977	black
LOC_00000978	turquoise
LOC_00000980	black
LOC_00000981	turquoise
LOC_00000982	turquoise
LOC_00000983	brown
LOC_00000984	brown
LOC_00000985	turquoise
LOC_00000989	grey
LOC_00000990	brown
LOC_00002321	turquoise
LOC_00002322	yellow
LOC_00002326	black
LOC_00002327	brown
LOC_00002328	magenta
LOC_00002329	magenta
LOC_00002330	red
LOC_00002331	blue
LOC_00002333	black
LOC_00002334	brown
LOC_00002335	blue
LOC_00002336	salmon
LOC_00002337	blue
LOC_00002338	blue
LOC_00002339	yellow
LOC_00002340	blue
