ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	module
GO:0010033	Response to organic substance	81/1264	457/10468	0.177242888402626	1.4678627814863	3.7899563824194	0.000202841809189579	0.00863888776637759	0.00774001640328655	LOC_00000041/LOC_00000304/LOC_00000405/LOC_00000411/LOC_00000528/LOC_00000754/LOC_00000757/LOC_00000764/LOC_00000905/LOC_00002533/LOC_00003134/LOC_00003617/LOC_00003654/LOC_00003767/LOC_00004408/LOC_00004891/LOC_00004922/LOC_00004923/LOC_00004924/LOC_00004925/LOC_00004926/LOC_00005640/LOC_00005850/LOC_00005942/LOC_00006163/LOC_00007140/LOC_00007203/LOC_00007514/LOC_00007750/LOC_00008226/LOC_00008753/LOC_00008755/LOC_00010491/LOC_00011002/LOC_00011181/LOC_00011182/LOC_00011592/LOC_00011772/LOC_00011773/LOC_00011775/LOC_00012091/LOC_00012195/LOC_00012436/LOC_00012635/LOC_00012870/LOC_00013083/LOC_00013467/LOC_00013951/LOC_00014064/LOC_00014312/LOC_00014313/LOC_00014735/LOC_00015236/LOC_00015260/LOC_00015264/LOC_00015273/LOC_00015274/LOC_00015316/LOC_00015813/LOC_00016302/LOC_00016763/LOC_00018906/LOC_00019767/LOC_00019902/LOC_00020059/LOC_00020095/LOC_00020096/LOC_00020205/LOC_00020966/LOC_00020967/LOC_00020970/LOC_00021656/LOC_00021854/LOC_00022505/LOC_00023867/LOC_00024051/LOC_00024157/LOC_00024202/LOC_00025114/LOC_00025237/LOC_00025415	81	blue
GO:0009617	Response to bacterium	19/1264	67/10468	0.283582089552239	2.34852635556395	4.10351132114977	0.000251835215710871	0.0101889072153932	0.00912875720942215	LOC_00000334/LOC_00000528/LOC_00002533/LOC_00007203/LOC_00008755/LOC_00011002/LOC_00013083/LOC_00014735/LOC_00018906/LOC_00020966/LOC_00020967/LOC_00020970/LOC_00023867/LOC_00023915/LOC_00024014/LOC_00024051/LOC_00024159/LOC_00024265/LOC_00024330	19	blue
GO:0030204	Chondroitin sulfate metabolic process	9/1264	20/10468	0.45	3.72674050632911	4.52312478842868	0.000256324709821213	0.0101889072153932	0.00912875720942215	LOC_00002662/LOC_00006765/LOC_00007948/LOC_00008753/LOC_00008871/LOC_00020874/LOC_00021461/LOC_00022627/LOC_00024267	9	blue
GO:0050654	Chondroitin sulfate proteoglycan metabolic process	9/1264	20/10468	0.45	3.72674050632911	4.52312478842868	0.000256324709821213	0.0101889072153932	0.00912875720942215	LOC_00002662/LOC_00006765/LOC_00007948/LOC_00008753/LOC_00008871/LOC_00020874/LOC_00021461/LOC_00022627/LOC_00024267	9	blue
GO:0097191	Extrinsic apoptotic signaling pathway	9/1264	20/10468	0.45	3.72674050632911	4.52312478842868	0.000256324709821213	0.0101889072153932	0.00912875720942215	LOC_00005445/LOC_00007750/LOC_00014337/LOC_00015236/LOC_00015264/LOC_00015273/LOC_00015316/LOC_00021654/LOC_00024157	9	blue
GO:0043281	Regulation of cysteine-type endopeptidase activity involved in apoptotic process	13/1264	38/10468	0.342105263157895	2.83319453697535	4.19521808798691	0.000320586689892749	0.0125344140228559	0.0112302153663897	LOC_00000906/LOC_00007140/LOC_00007296/LOC_00007750/LOC_00011002/LOC_00017314/LOC_00017745/LOC_00018042/LOC_00018084/LOC_00018761/LOC_00020966/LOC_00020967/LOC_00020970	13	blue
GO:0008625	Extrinsic apoptotic signaling pathway via death domain receptors	7/1264	13/10468	0.538461538461538	4.45934761441091	4.62487720363277	0.000326043467908458	0.0125421559832528	0.0112371517802066	LOC_00005445/LOC_00007750/LOC_00015236/LOC_00015264/LOC_00015273/LOC_00015316/LOC_00024157	7	blue
GO:0010811	Positive regulation of cell-substrate adhesion	10/1264	25/10468	0.4	3.3126582278481	4.29007777357681	0.00037440920901354	0.0141740629126554	0.0126992597209271	LOC_00002662/LOC_00008753/LOC_00011889/LOC_00012635/LOC_00021062/LOC_00021068/LOC_00021071/LOC_00021074/LOC_00021075/LOC_00021079	10	blue
GO:0010952	Positive regulation of peptidase activity	12/1264	34/10468	0.352941176470588	2.92293373045421	4.16173769288568	0.000390586694315151	0.0145554572803381	0.0130409702213776	LOC_00005445/LOC_00005942/LOC_00006826/LOC_00007140/LOC_00007750/LOC_00011002/LOC_00017314/LOC_00018906/LOC_00020966/LOC_00020967/LOC_00020970/LOC_00023867	12	blue
GO:1901216	Positive regulation of neuron death	5/1264	7/10468	0.714285714285714	5.91546112115732	4.82084344775517	0.000433492766276179	0.0159058499625952	0.0142508553123991	LOC_00007750/LOC_00011002/LOC_00020966/LOC_00020967/LOC_00020970	5	blue
