decile	bin	mean_beta	mean_beta_a	n
D07	1980	60.6613526437782	60.8907221657076	314
D07	1940	59.1800221527931	59.7870544285538	359
D07	1900	58.130794665	57.8389286577759	366
D07	1840	58.5861362849539	59.1023737270294	390
D07	1640	55.9205994440788	56.1771543077303	331
D07	1510	60.7248789859831	60.7812292730943	383
D07	1490	56.6365306760766	56.4234232219961	363
D07	1420	64.7148398585637	64.8143064854892	375
D07	1360	61.6827583436196	61.8377126667796	374
D07	200	1.23570886655249	1.23100903564236	513
D07	130	3.00451480832925	3.12202828688972	467
D07	20	1.78843849969347	1.79635115817835	785
D07	10	2.20108650597191	2.1503497144026	737
D07	0	1.56641153135883	1.55172815874901	779
D07	-10	1.01041327882608	1.00236841603843	774
D07	-20	1.35143526281361	1.36164060671427	688
D07	-30	1.48086700816358	1.42630200950259	651
D07	-40	1.42199762236938	1.3707859378795	698
D07	-60	1.86092292289792	1.87980777139034	573
D07	-370	2.06831074224697	1.93455207106772	456
D07	-560	5.03751333363867	5.10299201713764	394
D07	-650	5.49243472048881	5.72718969553236	391
D07	-660	4.49668217004271	4.16515514215406	429
D07	-770	6.41170685784724	6.09436073668573	395
D07	-950	7.56207453837673	7.61995862988197	421
D07	-980	10.1190561546238	10.2752617885159	403
D07	-990	8.48844553070155	8.64106919953718	426
D07	-1000	7.64292135792778	7.73176079604109	424
D07	-1020	7.91659956836097	7.76319980011076	417
D07	-1030	7.14875294253304	7.10240163273052	396
D07	-1040	9.61856591201198	9.85392603686831	397
D07	-1070	10.0539925167668	10.2680958311259	424
D07	-1120	6.01311191706775	6.17759798517868	390
D07	-1150	9.64826244356193	9.65321689568625	406
D07	-1230	10.8147892460104	10.8445598966294	426
D07	-1740	11.6682599098539	11.9529551230802	430
D07	-1850	10.0422801677366	10.1829657600613	417
D07	-1880	11.1582284851036	11.3265402361802	378
D07	-1950	8.6681430089328	8.60424917946037	382
D07	-1970	10.8695956842255	11.0971186450367	414
D07	-2050	11.2652094166564	11.217867320793	420
D07	-2070	13.6294003113287	13.1391056764572	403
D07	-2120	13.1325074314	13.0228883826619	383
D07	-2130	11.597255645907	11.750229336467	396
D07	-2290	12.90862022173	13.0147391072796	431
D07	-2490	14.1835159964726	14.1144406857702	386
D07	-2520	11.1564407282288	11.177599050927	377
D07	-2570	11.1767510258059	11.0180954922694	400
D07	-2930	15.3986654090869	15.4602326042419	372
D07	-2960	14.7585154394741	14.9895546376346	396
D07	-2970	13.0683694572074	12.7184040703137	405
D07	-3030	12.3789777616479	12.3449795285388	390
D07	-3210	15.5550498407247	15.4156724104437	434
D07	-3240	14.411744052709	14.7175728173393	412
D07	-3920	15.838965390592	15.8574440435602	390
D07	-4050	17.3708120235759	17.7532787978432	375
D07	-4160	19.2575859244796	19.2981807302699	366
D07	-4170	17.2976544564193	17.304353316035	372
D07	-4220	16.784163187973	16.9570646179955	378
D07	-4250	16.6578106476765	16.6666637552016	337
D07	-4270	14.871816344024	14.8136252042579	366
D07	-4280	19.582906989299	19.956716642134	360
D07	-4300	17.0924108102845	17.2647286306573	358
D07	1960	60.0905722333117	60.5166498025177	342
D07	1260	56.5211247694058	57.0606426221561	346
D07	1200	56.4841157290687	56.3540834969222	382
D07	1190	59.4071305355589	60.140686826088	376
D07	1130	62.4866657667472	62.4607371000882	352
D07	1090	54.1342264603076	54.6621228935413	356
D07	1040	50.6902435721133	50.7851136840326	326
D07	800	45.2133976049729	45.6485622172636	342
D07	780	44.5266542806417	44.5917048543241	353
D07	760	43.6759910500338	44.1358911203886	338
D07	740	42.8305210445333	42.918854772996	347
D07	700	32.0373734055928	31.7047248074058	358
D07	560	17.691212637116	18.306850214279	361
D07	330	3.40845084301886	3.19085984678655	452
D07	320	2.36257835336755	2.3879065738877	464
D07	260	1.510774414657	1.55017640557578	498
D07	210	1.91822965462223	1.94733685646485	540
D07	140	2.31154201854314	2.46351344393351	502
D07	-220	1.49171335478635	1.57535772723374	475
D07	-240	1.10730793749675	1.16749272399109	447
D07	-260	1.54732452593314	1.44231116678398	468
D07	-290	2.88443566545688	2.78199036808993	466
D07	-300	1.54758734528781	1.37171928266087	471
D07	-360	1.86413140144503	1.67716317306554	491
D07	-380	2.97987882116443	2.90555480220811	411
D07	-400	3.28064151960721	3.19583897138183	474
D07	-430	1.82183755870895	1.47267125822976	427
D07	-450	1.67679883346782	1.5844425437937	473
D07	-470	2.30045905568453	2.36920434151381	479
D07	-480	3.42133193280244	3.17774979894549	439
D07	-490	2.41201648696579	2.47406081364116	465
D07	-1350	10.7428436528419	10.8201493749055	423
D04	1970	48.4585369212753	48.973732671373	306
D04	1960	49.8977110925835	49.8923434068899	328
D04	1930	46.5400791043977	46.4531851311743	344
D04	1920	46.7018137345398	47.0163705051553	294
D04	1840	46.9180386001969	47.2533218290954	326
D04	1810	48.7086063946931	48.7229061567132	335
D04	1800	49.58438815774	50.3778419977523	339
D04	1750	46.3369646429495	46.7388822863824	335
D04	1680	48.367046346419	47.7558777213204	298
D04	1670	43.7356073874873	44.0218517252116	319
D04	1570	47.301821298277	47.2335716066385	327
D04	1380	47.1314312745233	47.8067320744609	355
D04	1350	45.3159496406734	45.515828722151	334
D04	1330	47.6788649194156	48.0868216436541	332
D04	1320	45.9147387665595	46.4419737618897	300
D04	1240	42.3938135312804	42.3833563285177	340
D04	1230	42.0727906478527	42.1823408611805	351
D04	1070	39.7997469215204	40.791830498647	374
D04	980	47.5250956294085	47.896921437822	374
D04	800	38.1797722783554	38.4503437744392	352
D04	790	40.7321292946598	41.3499218680528	319
D04	720	31.0261935590616	30.957033302144	356
D04	710	27.3868712758684	27.5912081107956	352
D04	670	25.1618699229729	24.8075314375751	348
D04	630	24.7936388494772	24.3927791777044	360
