motif_name	OR	p	n_spike	n_flank	padj	log2OR	neglog10p
odd-2	0	1	2749	0	1	-6.64385618977472	0
odr-7	0	1	4876	0	1	-6.64385618977472	0
pag-3	0	1	17817	0	1	-6.64385618977472	0
pax-2	0	1	2278	0	1	-6.64385618977472	0
ref-1	0	1	2254	0	1	-6.64385618977472	0
sex-1	0	1	3473	0	1	-6.64385618977472	0
snai-1	0	1	3800	0	1	-6.64385618977472	0
sptf-3	0	1	3484	0	1	-6.64385618977472	0
xbp-1	0	1	2558	0	1	-6.64385618977472	0
atfs-1	0	1	3580	0	1	-6.64385618977472	0
ceh-14	0	1	2318	0	1	-6.64385618977472	0
ceh-36	0	1	8249	0	1	-6.64385618977472	0
ceh-39	0	1	1642	0	1	-6.64385618977472	0
ceh-43	0	1	7742	0	1	-6.64385618977472	0
ceh-60	0	1	3105	0	1	-6.64385618977472	0
cnd-1	0	1	3619	0	1	-6.64385618977472	0
egl-27	0	1	3181	0	1	-6.64385618977472	0
elt-1	0	1	2079	0	1	-6.64385618977472	0
ets-7	0	1	3055	0	1	-6.64385618977472	0
fkh-3	0	1	3234	0	1	-6.64385618977472	0
hif-1	0	1	2267	0	1	-6.64385618977472	0
hsf-1	0	1	2404	0	1	-6.64385618977472	0
lin-32	0	1	4192	0	1	-6.64385618977472	0
lsl-1	0	1	2590	0	1	-6.64385618977472	0
mdl-1	0	1	4636	0	1	-6.64385618977472	0
mef-2	0	1	8481	0	1	-6.64385618977472	0
mls-2	0	1	670	0	1	-6.64385618977472	0
mxl-1	0	1	2070	0	1	-6.64385618977472	0
mxl-3	0	1	2061	0	1	-6.64385618977472	0
nfya-1	0	1	3349	0	1	-6.64385618977472	0
sta-1	0	1	3188	0	1	-6.64385618977472	0
ceh-10	0	1	4836	0	1	-6.64385618977472	0
F10B5.3	0	1	3797	0	1	-6.64385618977472	0
lsy-2	0	1	2617	0	1	-6.64385618977472	0
nfi-1	0	1	2194	0	1	-6.64385618977472	0
nhr-33	0	1	2577	0	1	-6.64385618977472	0
sox-3	0	1	3804	0	1	-6.64385618977472	0
tbx-37	0	1	3925	0	1	-6.64385618977472	0
tbx-38	0	1	3890	0	1	-6.64385618977472	0
ztf-6	0	1	4330	0	1	-6.64385618977472	0
acj6	0	1	1662	0	1	-6.64385618977472	0
Adf1	0	1	1954	0	1	-6.64385618977472	0
Aef1	0	1	5639	0	1	-6.64385618977472	0
amos	0	1	3131	0	1	-6.64385618977472	0
Atf-2	0	1	2852	0	1	-6.64385618977472	0
Atf3	0	1	6444	0	1	-6.64385618977472	0
Atf6	0	1	2706	0	1	-6.64385618977472	0
ato	0	1	3398	0	1	-6.64385618977472	0
bigmax	0	1	2793	0	1	-6.64385618977472	0
bin	0	1	9387	0	1	-6.64385618977472	0
Blimp-1	0	1	3831	0	1	-6.64385618977472	0
bowl	0	1	3327	0	1	-6.64385618977472	0
bs	0	1	1916	0	1	-6.64385618977472	0
Bteb2	0	1	2762	0	1	-6.64385618977472	0
byn	0	1	2918	0	1	-6.64385618977472	0
CG12605	0	1	3512	0	1	-6.64385618977472	0
CG4360	0	1	7460	0	1	-6.64385618977472	0
CG7928	0	1	4127	0	1	-6.64385618977472	0
CHES-1-like	0	1	5371	0	1	-6.64385618977472	0
ci	0	1	4909	0	1	-6.64385618977472	0
crc	0	1	2162	0	1	-6.64385618977472	0
CrebA	0	1	1546	0	1	-6.64385618977472	0
CrebB	0	1	1990	0	1	-6.64385618977472	0
croc	0	1	4093	0	1	-6.64385618977472	0
dar1	0	1	4302	0	1	-6.64385618977472	0
Dif	0	1	1680	0	1	-6.64385618977472	0
dimm	0	1	1722	0	1	-6.64385618977472	0
dm	0	1	3008	0	1	-6.64385618977472	0
Doc2	0	1	2659	0	1	-6.64385618977472	0
dpn	0	1	3822	0	1	-6.64385618977472	0
dsf	0	1	4759	0	1	-6.64385618977472	0
E(spl)m3-HLH	0	1	3029	0	1	-6.64385618977472	0
E(spl)mbeta-HLH	0	1	2735	0	1	-6.64385618977472	0
E(spl)mdelta-HLH	0	1	2318	0	1	-6.64385618977472	0
E(spl)mgamma-HLH	0	1	2088	0	1	-6.64385618977472	0
EcR	0	1	1536	0	1	-6.64385618977472	0
Eip75B	0	1	3149	0	1	-6.64385618977472	0
erm	0	1	5112	0	1	-6.64385618977472	0
ERR	0	1	2856	0	1	-6.64385618977472	0
esg	0	1	3353	0	1	-6.64385618977472	0
Ets65A	0	1	2599	0	1	-6.64385618977472	0
