decile	bin	mean_cpg_per_bin	cpg_per_kb
D07	-1490	1.14166666666667	114.166666666667
D04	-4220	1.12891986062718	112.891986062718
D07	-1390	1.12137203166227	112.137203166227
D04	-4240	1.11363636363636	111.363636363636
D04	-4250	1.14827586206897	114.827586206897
D07	-1360	1.1301775147929	113.01775147929
D04	-4260	1.08945686900958	108.945686900959
D07	-1340	1.11516853932584	111.516853932584
D04	-4300	1.11627906976744	111.627906976744
D07	-1310	1.12328767123288	112.328767123288
D04	-4320	1.08710801393728	108.710801393728
D04	-4330	1.10508474576271	110.508474576271
D07	-1280	1.12841530054645	112.841530054645
D04	-4340	1.11149825783972	111.149825783972
D07	-1270	1.12146892655367	112.146892655367
D04	-4360	1.11148648648649	111.148648648649
D07	-1250	1.14357682619647	114.357682619647
D04	-4380	1.12540192926045	112.540192926045
D04	-4390	1.11038961038961	111.038961038961
D04	-4410	1.09756097560976	109.756097560976
D07	-1200	1.11358024691358	111.358024691358
D04	-4490	1.12982456140351	112.982456140351
D07	-1110	1.10354223433243	110.354223433243
D04	-4500	1.12956810631229	112.956810631229
D04	-4510	1.10034602076125	110.034602076125
D04	-4570	1.15087719298246	115.087719298246
D04	-4580	1.08304498269896	108.304498269896
D04	-4590	1.10702341137124	110.702341137124
D07	-1010	1.14600550964187	114.600550964187
D04	-4620	1.1013986013986	110.13986013986
D04	-4630	1.06597222222222	106.597222222222
D07	-970	1.12637362637363	112.637362637363
D04	-4640	1.11349693251534	111.349693251534
D07	-960	1.11614730878187	111.614730878187
D04	-4650	1.10835913312693	110.835913312693
D04	-4660	1.12420382165605	112.420382165605
D07	-940	1.12997347480106	112.997347480106
D04	-4680	1.11612903225806	111.612903225806
D07	-930	1.12868632707775	112.868632707775
D04	-4700	1.11650485436893	111.650485436893
D07	-910	1.15119363395225	115.119363395225
D04	-4760	1.11036789297659	111.036789297659
D07	-840	1.13858695652174	113.858695652174
D04	-4770	1.12847222222222	112.847222222222
D07	-830	1.12371134020619	112.371134020619
D04	-4780	1.15547703180212	115.547703180212
D04	-4790	1.12286689419795	112.286689419795
D07	-820	1.13829787234043	113.829787234043
D07	-810	1.12054794520548	112.054794520548
D04	-4860	1.13029315960912	113.029315960912
D07	-750	1.14285714285714	114.285714285714
D04	-4990	1.11072664359862	111.072664359862
D07	-620	1.09973045822102	109.973045822102
D07	-570	1.13687150837989	113.687150837989
D07	-550	1.11720698254364	111.720698254364
D07	-540	1.11363636363636	111.363636363636
D07	-530	1.11796246648794	111.796246648794
D07	-520	1.14640883977901	114.640883977901
D07	-460	1.12626262626263	112.626262626263
D07	-420	1.14039408866995	114.039408866995
D07	-410	1.12441314553991	112.441314553991
D07	-350	1.11881188118812	111.881188118812
D07	-340	1.14285714285714	114.285714285714
D07	-330	1.11407766990291	111.407766990291
D07	-310	1.15384615384615	115.384615384615
D07	-270	1.11793611793612	111.793611793612
D07	-250	1.14319809069212	114.319809069212
D07	-200	1.13366336633663	113.366336633663
D07	-180	1.13010204081633	113.010204081633
D07	-150	1.1413612565445	114.13612565445
D07	-120	1.12128712871287	112.128712871287
D07	-110	1.12442396313364	112.442396313364
D07	30	1.18394648829431	118.394648829431
D07	40	1.16967509025271	116.967509025271
D07	70	1.18677042801556	118.677042801556
D07	110	1.13288288288288	113.288288288288
D07	120	1.12072892938497	112.072892938497
D07	240	1.11521739130435	111.521739130435
D07	270	1.12385321100917	112.385321100917
D07	340	1.09859154929577	109.859154929577
D07	570	1.13538461538462	113.538461538462
D07	670	1.11538461538462	111.538461538462
D07	790	1.13271604938272	113.271604938272
D07	820	1.08695652173913	108.695652173913
D07	860	1.12037037037037	112.037037037037
D07	890	1.10616438356164	110.616438356164
D07	1070	1.11598746081505	111.598746081505
D07	1110	1.10192837465565	110.192837465565
D07	1170	1.13125	113.125
D07	1240	1.08	108
D07	1250	1.11661807580175	111.661807580175
D07	1330	1.13125	113.125
D07	1440	1.10645161290323	110.645161290323
D07	1530	1.10126582278481	110.126582278481
D07	1550	1.14195583596215	114.195583596215
D07	1590	1.12835820895522	112.835820895522
D07	1620	1.10324483775811	110.324483775811
D07	1650	1.10233918128655	110.233918128655
D07	1670	1.09009009009009	109.009009009009
D07	1920	1.13486842105263	113.486842105263
D07	1990	1.14551083591331	114.551083591331
D05	-4990	1.12631578947368	112.631578947368
D05	-4960	1.16943521594684	116.943521594684
D05	-4860	1.10094637223975	110.094637223975
D05	-4600	1.14583333333333	114.583333333333
D05	-4550	1.11940298507463	111.940298507463
D05	-4350	1.12341772151899	112.341772151899
D05	-4330	1.0974025974026	109.74025974026
D05	-4290	1.12333333333333	112.333333333333
D05	-4240	1.09433962264151	109.433962264151
D05	-4040	1.10526315789474	110.526315789474
D05	-4030	1.1010101010101	110.10101010101
D05	-4000	1.07987220447284	107.987220447284
D05	-3970	1.12460063897764	112.460063897764
D05	-3920	1.08562691131498	108.562691131499
D05	-3730	1.12727272727273	112.727272727273
D05	-3690	1.11627906976744	111.627906976744
D05	-3660	1.10169491525424	110.169491525424
D05	-3610	1.10365853658537	110.365853658537
D05	-3580	1.10876132930514	110.876132930514
D05	-3540	1.09090909090909	109.090909090909
