decile	pos	gc_pct	cpg_oe
D06	-1510	41.576482830385	0.686336631484245
D01	-1510	42.7270375161708	0.708788898761053
D05	-1510	41.6901709401709	0.674412597681433
D04	-1510	41.5094235033259	0.686824813819981
D02	-1500	41.8308383233533	0.692622898766972
D03	-1500	41.1846057571965	0.683541300911663
D08	-1500	41.3834248627059	0.686233348701575
D07	-1500	41.8812279818822	0.708669702200797
D10	-1500	41.8374816983895	0.733527927102331
D09	-1500	41.6764561918747	0.689808824090633
D06	-1500	41.5473465140479	0.682123617420391
D01	-1500	42.8182406209573	0.707039841501572
D05	-1500	41.6837606837607	0.673722945392491
D04	-1500	41.4645232815965	0.687550956322254
D02	-1490	41.8450598802395	0.685333685501693
D03	-1490	41.2265331664581	0.680902628628972
D08	-1490	41.3694458312531	0.683744053916105
D07	-1490	41.8651233014595	0.715098125381505
D10	-1490	41.7813567593948	1.04399420440574
D09	-1490	41.6749877630935	0.687300889841337
D06	-1490	41.5114464099896	0.710090384792741
D01	-1490	42.7089262613195	0.705057996615979
D05	-1490	41.7013888888889	0.677654405952463
D04	-1490	41.3858093126386	0.685905120913962
D02	-1480	41.8211077844311	0.685546685548501
D03	-1480	41.2415519399249	0.682519056763701
D08	-1480	41.4523215177234	0.68083068534432
D07	-1480	41.8314041268244	0.715913205815012
D10	-1480	41.7628111273792	0.698951678906094
D09	-1480	41.6544297601566	0.698314201720958
D06	-1480	41.4828303850156	0.686313991870714
D01	-1480	42.6313065976714	0.706463268588732
D05	-1480	41.7387820512821	0.678027966035149
D04	-1480	41.3508869179601	0.685423744332895
D02	-1470	41.7769461077844	0.685076525694596
D03	-1470	41.2284105131414	0.670543693532117
D08	-1470	41.4573140289566	0.685850100585629
D07	-1470	41.7307498741822	0.719061032506771
D10	-1470	41.8125915080527	0.6978178596076
D09	-1470	41.6651982378855	0.7016525697819
D06	-1470	41.4984391259105	0.678190475437675
D01	-1470	42.608020698577	0.703614923884725
D05	-1470	41.8103632478633	0.675113599641092
D04	-1470	41.3819290465632	0.693170091173289
D02	-1460	41.7357784431138	0.688313956783423
D03	-1460	41.279098873592	0.672163088593739
D08	-1460	41.5621567648527	0.67965056844015
D07	-1460	41.7574232511324	0.709136559442675
D10	-1460	41.8945827232796	0.696233531616293
D09	-1460	41.6617719040627	0.705059537295872
D06	-1460	41.5052029136316	0.676356807307215
D01	-1460	42.6455368693402	0.690395279367785
D05	-1460	41.8242521367521	0.674551020653484
D04	-1460	41.4329268292683	0.684439353024108
D02	-1450	41.6721556886228	0.689358743157727
D03	-1450	41.3510638297872	0.675608940895391
D08	-1450	41.6015976035946	0.67324475839434
D07	-1450	41.775541016608	0.71247732628926
D10	-1450	41.9067837969741	0.693725728690828
D09	-1450	41.6671561429271	0.703228799064954
D06	-1450	41.4651404786681	0.6711227957263
D01	-1450	42.624191461837	0.687716460843779
D05	-1450	41.8851495726496	0.661857538235401
D04	-1450	41.4312638580931	0.690309699924837
D02	-1440	41.684131736527	0.685982830025589
D03	-1440	41.3404255319149	0.670989790945288
D08	-1440	41.6350474288567	0.674401645296927
D07	-1440	41.7322596879718	0.705362144292626
D10	-1440	41.900439238653	0.691221891920658
D09	-1440	41.6656877141459	0.702434992828938
D06	-1440	41.4474505723205	0.674002009937753
D01	-1440	42.6119016817594	0.691714582980582
D05	-1440	41.8782051282051	0.6565772415126
D04	-1440	41.4672949002217	0.689590257726106
D02	-1430	41.6684131736527	0.688812890340696
D03	-1430	41.3028785982478	0.66136616026856
D08	-1430	41.7064403394908	0.6760786272884
D07	-1430	41.7624559637645	0.713863651493673
D10	-1430	41.9224011713031	0.693429257892383
D09	-1430	41.6965247185512	0.703527295914927
D06	-1430	41.3985431841831	0.666063881712762
D01	-1430	42.5756791720569	0.696582564059295
D05	-1430	41.9049145299145	0.660611532339986
D04	-1430	41.4761640798226	0.691524357249589
D02	-1420	41.684880239521	0.690676381569431
D03	-1420	41.2709637046308	0.666925084911609
D08	-1420	41.708437343984	0.672236881189961
D07	-1420	41.7931555108203	0.717453472473954
D10	-1420	41.9414348462665	0.692002196842247
D09	-1420	41.7175721977484	0.702808697169899
D06	-1420	41.3699271592092	0.663165570749452
D01	-1420	42.5899094437257	0.706491468898802
D05	-1420	41.9284188034188	0.66684274061455
D04	-1420	41.4728381374723	0.687825747838444
D02	-1410	41.6594311377246	0.688325217956571
D03	-1410	41.2822277847309	0.666726899873801
D08	-1410	41.7109335996006	0.676166128746526
D07	-1410	41.7730246602919	0.718204693647893
D10	-1410	41.99560761347	0.694199382230803
D09	-1410	41.7102300538424	0.703620857357214
D06	-1410	41.4063475546306	0.666770879519531
D01	-1410	42.5743855109961	0.701558776888383
D05	-1410	41.9465811965812	0.656328917212826
D04	-1410	41.4528824833703	0.686972029106319
D02	-1400	41.6339820359282	0.688262551193105
D03	-1400	41.2672090112641	0.670925860052145
D08	-1400	41.7738392411383	0.675156911066279
D07	-1400	41.6889783593357	0.713296710478798
D10	-1400	41.9931673987311	0.698189690588918
D09	-1400	41.7640724424865	0.710864442401606
D06	-1400	41.4562955254943	0.670005500242016
D01	-1400	42.4003880983183	0.701856308869329
D05	-1400	41.8915598290598	0.65864465318495
D04	-1400	41.5205099778271	0.803487954584421
D02	-1390	41.6175149700599	0.694038953518013
D03	-1390	41.1846057571965	0.663806002462689
