gene_id	n_dmp	mean_diff	n_hyper	n_hypo	log2FoldChange	padj	baseMean	de	meth_direction	gene_name	dmp_bin
LOC_00016615	1	-0.165531218966835	0	1	-0.0217204003952736	0.892315528512708	285.825646402153	FALSE	Hypo	Lac	1
LOC_00016620	1	-0.200545545003948	0	1	0.0322297342740406	0.849955062430608	304.499314273593	FALSE	Hypo	ZFP2	1
LOC_00016621	2	-0.185044789531597	0	2	-0.0544020670216223	0.72984252370863	126.219692869628	FALSE	Hypo	ZNF665	2-3
LOC_00016622	2	-0.185044789531597	0	2	-0.187801770636229	0.25807300062214	90.1324519345816	FALSE	Hypo	ZNF235	2-3
LOC_00016645	1	-0.186515775778533	0	1	0.0548582615930661	0.694452138497669	3376.16857294617	FALSE	Hypo	MAN1B1	1
LOC_00016646	1	-0.186515775778533	0	1	-0.196407267885534	0.160280458440927	1617.16754210072	FALSE	Hypo	WDR47	1
LOC_00016657	6	-0.180671825877512	0	6	-0.0181752930225318	0.914980104889242	1253.00148460186	FALSE	Hypo	SPMIP5	6-10
LOC_00016669	2	-0.248226054075398	0	2	0.150555267617384	0.301850537469739	273.965706042036	FALSE	Hypo	Trub2	2-3
LOC_00016671	6	-0.176344063591386	0	6	-0.00772148965957664	0.964992894695567	734.233923723506	FALSE	Hypo	Gclm	6-10
LOC_00016672	6	-0.176344063591386	0	6	0.16109842513784	0.212645323628751	3260.70931629149	FALSE	Hypo	Atf6b	6-10
LOC_00016691	1	-0.178135763478897	0	1	0.187638160608784	0.161921600181937	946.464170186422	FALSE	Hypo	Anapc2	1
LOC_00016692	3	-0.203805489119931	0	3	0.113645987062426	0.311808593274505	11030.8392824417	FALSE	Hypo	Sh3glb1	2-3
LOC_00016696	12	0.206110734080401	12	0	-0.0884331067246566	0.494937605005454	41.2225816400318	FALSE	Hyper		>10
LOC_00016697	12	0.206110734080401	12	0	-0.108473726543504	0.434123400784688	48.8064086193623	FALSE	Hyper		>10
LOC_00016701	2	0.217905428757941	2	0	0.0623307645916069	0.648162067224153	945.735431727385	FALSE	Hyper	Drosha	2-3
LOC_00016702	2	0.217905428757941	2	0	-0.0640588563961741	0.690482838435	1024.27466651529	FALSE	Hyper	Npsr1	2-3
LOC_00016715	1	0.390981401516555	1	0	-0.118061801208754	0.422459364597793	64.112902528097	FALSE	Hyper		1
LOC_00016716	1	0.390981401516555	1	0	-0.197737929856854	0.159733361611239	603.743889272156	FALSE	Hyper	PTPRT	1
LOC_00016742	9	-0.22083438566445	0	9	0.103639692004294	0.445292039323544	2830.77520746468	FALSE	Hypo	Pfdn6	6-10
LOC_00016743	9	-0.22083438566445	0	9	0.506044897091224	0.000107613458418786	9063.94509325678	TRUE	Hypo		6-10
LOC_00016770	3	-0.185795179329862	0	3	0.0160182232867814	0.92942443922073	1969.84852928475	FALSE	Hypo		2-3
LOC_00016771	3	-0.185795179329862	0	3	0.158595893875885	0.194307675641616	4196.28562045544	FALSE	Hypo	RAB14	2-3
LOC_00016774	3	0.251818390329475	3	0	0.0435530402400911	0.779232528188107	2072.65781673344	FALSE	Hyper	Megf9	2-3
LOC_00016775	10	-0.143250897881515	3	7	0.112010137949223	0.405526869959728	1766.16410621905	FALSE	Hypo	ARL3	6-10
LOC_00016792	1	0.243410957001674	1	0	-0.153862599721896	0.319764997965624	366.925157448994	FALSE	Hyper	CCDC18	1
LOC_00016820	3	0.0564473599215937	2	1	0.220193908757592	0.0610048326626696	6278.47262887753	FALSE	Hyper	CACYBP	2-3
LOC_00016833	8	-0.0228436354113713	4	4	0.184281969301345	0.268254916847144	361.433163386796	FALSE	Hypo		6-10
LOC_00016834	4	0.207437745210316	4	0	0.0496678569682953	0.734227548122192	46.5596712856029	FALSE	Hyper	Slc7a8	4-5
LOC_00016835	1	0.334550364398457	1	0	0.136923957613426	0.207340332673589	7234.63544037886	FALSE	Hyper	Brd2	1
LOC_00016846	27	-0.247998459744419	0	27	-0.0251037141468089	0.883991387260032	268.054868371718	FALSE	Hypo		>10
LOC_00016851	6	-0.0878503925901523	2	4	-0.0339734626198619	0.827899429856117	1116.9338705632	FALSE	Hypo	NPDC1	6-10
LOC_00016853	1	0.169699030918186	1	0	0.185735496548907	0.173949190158765	3440.04183152292	FALSE	Hyper	CDC73	1
LOC_00016854	18	0.212045084445234	18	0	0.231064494499207	0.134889270419295	12975.3455585698	FALSE	Hyper	Rpl28	>10
LOC_00016855	17	0.214536028770354	17	0	0.120617993558357	0.440422856651017	1002.52423753436	FALSE	Hyper	Slc44a2	>10
LOC_00016859	9	-0.180533827923794	0	9	-0.0342742999245802	0.786308085797611	41.0032263613065	FALSE	Hypo	tdrd5	6-10
LOC_00016860	9	-0.180533827923794	0	9	-0.314773549091995	0.102016240223085	146.03604793289	FALSE	Hypo		6-10
LOC_00016866	4	-0.211675990394344	0	4	0.00792727313185298	0.965345775765028	100.948834002527	FALSE	Hypo	Wdr31	4-5
LOC_00016889	1	0.191361926204808	1	0	0.0458965804938072	0.760364767933185	2813.07127676997	FALSE	Hyper	NTNG1	1
LOC_00016914	5	-0.300502151693442	0	5	0.083391026825464	0.550944608449345	4405.84331098437	FALSE	Hypo	Anks1a	4-5
LOC_00016917	1	0.3733928107063	1	0	0.292229550066382	0.0150916344363052	2058.67569612694	TRUE	Hyper	ARHGAP39	1
LOC_00016927	1	-0.467931640487373	0	1	0.0964201351916938	0.504438981373195	709.814949776823	FALSE	Hypo	Lrp4	1
LOC_00016930	1	0.208824058029527	1	0	0.209825646632218	0.05768279567609	7748.41618538136	FALSE	Hyper	CTNND2	1
LOC_00016933	1	0.208824058029527	1	0	0.0546597978517359	0.729044664264013	1425.1868177414	FALSE	Hyper	Tmem41b	1
LOC_00016952	16	-0.229858851989466	1	15	0.260228693412373	0.0768314750024115	6488.63180992226	FALSE	Hypo		>10
LOC_00016955	2	0.418700103097573	2	0	-0.141900251745396	0.363644967662092	509.531906620152	FALSE	Hyper	Dram2	2-3
LOC_00016956	2	0.230350767155409	2	0	-0.129037604874799	0.359130422899899	2456.59908902471	FALSE	Hyper	Osbpl8	2-3
LOC_00016959	8	-0.267099624923641	0	8	0.0800858433139238	0.494937605005454	26837.8866768009	FALSE	Hypo	LIMD2	6-10
LOC_00016970	1	-0.237872965419479	0	1	-0.166550996736341	0.154531323728557	1488.46020075437	FALSE	Hypo	OSBPL11	1
LOC_00016971	1	-0.147564900596178	0	1	-0.0882041166335512	0.566100349413092	93.7461051863401	FALSE	Hypo	HMCN2	1
LOC_00016975	5	-0.284407403019619	0	5	0.108611415857678	0.485587289275911	138.003774393629	FALSE	Hypo	DHFR	4-5
LOC_00016977	6	0.181778567335516	6	0	0.113961994806663	0.466556431301674	232.317536362381	FALSE	Hyper	SFRP5	6-10
LOC_00016981	1	-0.258733872244852	0	1	-0.107768889745548	0.446022700325073	1943.63444800066	FALSE	Hypo	Xdh	1
LOC_00017001	5	-0.148828660039579	0	5	-0.141399852598827	0.311661425674122	984.811528906753	FALSE	Hypo	H6PD	4-5
LOC_00017009	2	0.195662674903643	2	0	0.228468999291513	0.113238300925085	7234.09238501243	FALSE	Hyper	rpl15	2-3
LOC_00017010	1	0.468089795390302	1	0	-0.311817450073504	0.0733276354808168	915.135482664285	FALSE	Hyper	Major	1
LOC_00017014	1	0.180396023210032	1	0	-0.250945585129799	0.160948677326438	281.119019790784	FALSE	Hyper	ARF1	1
LOC_00017015	6	-0.0107904485749088	3	3	-0.221425640279459	0.195401835631924	411.653656131064	FALSE	Hypo	ANK3	6-10
LOC_00017023	4	0.251989767457827	4	0	0.0160931720866467	0.924300592346238	80.7630837057062	FALSE	Hyper	ARF1	4-5
LOC_00017034	9	0.279416493509067	9	0	0.120329105790367	0.371540638601063	1141.27208312996	FALSE	Hyper	GST1	6-10
LOC_00017042	12	0.24664227645375	12	0	-0.00613198882333428	0.966843043364947	1480.57297677065	FALSE	Hyper	jmjd6-a	>10
LOC_00017043	12	0.24664227645375	12	0	0.0866577681762471	0.553565445288627	539.770699731957	FALSE	Hyper	nosip	>10
LOC_00017056	4	-0.214216033905565	0	4	0.318219522270636	0.0385706636316823	1604.9162893748	TRUE	Hypo	Wdr4	4-5
LOC_00017058	4	0.253225928274448	4	0	-0.0610567013496257	0.696040037013861	584.781818517561	FALSE	Hyper	TMEM237	4-5
LOC_00017059	4	0.253225928274448	4	0	0.0195978933519653	0.901832298445458	1330.57631420223	FALSE	Hyper	egg	4-5
LOC_00017066	13	-0.237965239963172	0	13	-0.0547292722412117	0.698338058101465	2187.18792904886	FALSE	Hypo	Bltp3b	>10
LOC_00017077	8	-0.22379076850866	0	8	0.358973857423744	0.0206843778379368	563.410639572784	TRUE	Hypo	NHERF2	6-10
LOC_00017079	1	0.244233900581319	1	0	0.347053947372014	0.0535569439766444	191.267787535434	FALSE	Hyper	Gyc88E	1
LOC_00017080	1	0.244233900581319	1	0	-0.075412137622199	0.604934732059729	1939.62763450251	FALSE	Hyper	FGFR1OP2	1
LOC_00017091	2	-0.186447756394189	0	2	-0.00937396721392632	0.9549667601314	1425.01218995002	FALSE	Hypo	EMC10	2-3
LOC_00017092	2	-0.186447756394189	0	2	0.234920149837336	0.173094353672812	118.989006240691	FALSE	Hypo	B0563.6	2-3
LOC_00017099	8	0.304424257489676	8	0	0.0265927715395851	0.876937606167277	904.169046928466	FALSE	Hyper	PLCL2	6-10
LOC_00017103	1	0.239771235228167	1	0	0.12206434691288	0.386687608519427	2571.75191895624	FALSE	Hyper	Cyb5r3	1
LOC_00017104	4	0.312927510103237	4	0	-0.235846915241868	0.134128295326655	908.145217412484	FALSE	Hyper	bark	4-5
LOC_00017105	4	0.312927510103237	4	0	0.235681112198057	0.122105774997696	11710.1610502212	FALSE	Hyper	CARS1	4-5
LOC_00017117	3	-0.254062235115378	0	3	-0.101007777319269	0.476698753769174	1673.46407967805	FALSE	Hypo	PARP11	2-3
LOC_00017118	4	-0.300670735281429	0	4	-0.365235778728058	0.0437321837952313	369.709862571824	TRUE	Hypo	EFNB2	4-5
LOC_00017128	2	-0.215408278753209	0	2	-0.258302851157463	0.117338324327454	1257.80797543858	FALSE	Hypo	EPS8L1	2-3
LOC_00017145	2	-0.174957179047998	0	2	0.0139409670679476	0.928000698549682	888.176476323666	FALSE	Hypo	COMMD9	2-3
LOC_00017146	2	-0.174957179047998	0	2	0.09133735369624	0.468550290402622	1034.69929420548	FALSE	Hypo	TRAF3IP2	2-3
LOC_00017150	2	0.198212667730966	2	0	-0.0766654771377018	0.61659208237868	983.102462806123	FALSE	Hyper	Elovl4	2-3
LOC_00017162	4	-0.259205810772119	0	4	0.0477717319269434	0.7049130855479	4410.03553601905	FALSE	Hypo	Cd81	4-5
LOC_00017164	1	-0.282907086990086	0	1	0.0672647991457438	0.592718461427367	16025.2704735644	FALSE	Hypo	TTN	1
LOC_00017201	9	-0.302025698784649	0	9	0.0577994568254114	0.700057969677894	69.9118697972578	FALSE	Hypo		6-10
LOC_00017202	9	-0.302025698784649	0	9	-0.0407711135329048	0.784954887843167	4949.665058867	FALSE	Hypo	PACSIN2	6-10
LOC_00017211	1	0.161789987837186	1	0	0.0729992011144791	0.643921872138756	786.36193561765	FALSE	Hyper	Endod1	1
LOC_00017214	3	0.200085272261801	3	0	0.175755133120819	0.268783461017024	4222.97382668873	FALSE	Hyper	bcpC	2-3
LOC_00017215	3	0.200085272261801	3	0	0.251570029648774	0.065695194480324	8571.51951438152	FALSE	Hyper	PSMD2	2-3
LOC_00017218	7	-0.192909072136866	0	7	0.436753719814945	0.0875025119346315	48.3000020582303	FALSE	Hypo	Fatty	6-10
LOC_00017231	1	0.204704793378822	1	0	-0.0218532425410991	0.897470694974039	92.1610479232841	FALSE	Hyper	Cwf19l1	1
LOC_00017236	2	0.215197311537284	2	0	0.0343168691453262	0.822310979724898	2014.70528139481	FALSE	Hyper	Cnot4	2-3
LOC_00017298	22	-0.240541694533444	0	22	-0.232704230581539	0.193630588150502	72.2272626558912	FALSE	Hypo	MAM	>10
LOC_00017302	1	0.170192540925695	1	0	0.030573019627998	0.858556688552617	502.567582872994	FALSE	Hyper	UHF1	1
LOC_00017304	1	-0.189805503345926	0	1	-0.0341321762075629	0.81983830790672	2592.95837782047	FALSE	Hypo		1
LOC_00017305	1	-0.189805503345926	0	1	-0.000792307125729942	0.99595368093277	285.611238605689	FALSE	Hypo	Uncharacterized	1
LOC_00017308	2	-0.247114429260689	0	2	-0.00954422760440668	0.957459317242724	299.105113943638	FALSE	Hypo	CIMAP3	2-3
LOC_00017309	4	0.012792129520237	2	2	0.0184909375683148	0.890966842916475	1227.72129202956	FALSE	Hyper	LMO1	4-5
LOC_00017315	1	-0.183337203133687	0	1	0.0236195072859014	0.888573841345424	5276.93313516798	FALSE	Hypo	FKBP4	1
LOC_00017316	5	-0.261358376217885	0	5	0.0317527388340189	0.84581966729189	964.800173841105	FALSE	Hypo	Adar	4-5
LOC_00017317	5	-0.261358376217885	0	5	-0.0310006971584192	0.850781932629898	653.21775465205	FALSE	Hypo		4-5
LOC_00017318	5	-0.261358376217885	0	5	0.102229378355323	0.46366736101217	2155.45904683018	FALSE	Hypo	Mfsd5	4-5
LOC_00017321	3	-0.0317231528754203	1	2	0.0492599448577917	0.768564779979741	3701.82112648539	FALSE	Hypo	Putative	2-3
LOC_00017323	1	0.202026315117893	1	0	0.18475605780663	0.19343148187338	451.6595890771	FALSE	Hyper	saal1	1
LOC_00017333	14	-0.220552125361427	0	14	-0.0914682672209349	0.554943710196873	477.709144398983	FALSE	Hypo	CSTPP1	>10
LOC_00017341	2	-0.201854071688017	0	2	-0.404502018046706	0.000877637601535518	748.568391715193	TRUE	Hypo	Loxhd1	2-3
LOC_00017344	1	-0.31651761029595	0	1	0.0731464174704094	0.610326342101523	871.637203702317	FALSE	Hypo	DCDC1	1
LOC_00017349	2	0.344397274746708	2	0	0.129902468928682	0.361676544455252	2685.91303022592	FALSE	Hyper	Lmf2	2-3
