gene_id	n_dmr	mean_dmr_diff	total_cpgs	log2FoldChange	padj	baseMean	de	meth_direction	gene_name	display_name	concordant	quadrant
LOC_00000056	2	0.227235129225108	11	5.02182080003814	0.0000000000000000468140826381633	38.217528545733	TRUE	Hyper		LOC_00000056	TRUE	Hyper_Up
LOC_00002600	1	0.216584444091141	6	1.95927557112513	0.0000000000000000000000000258868956828915	408.319707290679	TRUE	Hyper	sox19a	sox19a	TRUE	Hyper_Up
LOC_00010105	1	0.203483547025078	4	1.58277481335245	0.000000000000000000000000000000000000908572145836538	2631.91114599394	TRUE	Hyper	Bcar1	Bcar1	TRUE	Hyper_Up
LOC_00018184	1	-0.259167536902517	4	1.56531817461301	0.0000000000000000103320651479264	184.116664331396	TRUE	Hypo	unc-9	unc-9	FALSE	Hypo_Up
LOC_00018183	1	-0.259167536902517	4	1.2983074609262	0.000000000000151372076859362	244.606083596093	TRUE	Hypo		LOC_00018183	FALSE	Hypo_Up
LOC_00008768	1	0.225763082799227	7	1.21095121922359	0.00000000000000000187470143168468	14012.1664926583	TRUE	Hyper	PDLIM3	PDLIM3	TRUE	Hyper_Up
LOC_00014484	1	-0.302886938093015	9	1.13008370036987	0.00000000000000000000000646720111219131	2156.42525760426	TRUE	Hypo	Mmp16	Mmp16	FALSE	Hypo_Up
LOC_00015983	1	0.246959350467352	11	1.0642448853497	0.00306140747247065	36.4752344096129	TRUE	Hyper		LOC_00015983	TRUE	Hyper_Up
LOC_00014542	1	-0.224853789977849	11	1.04613402334748	0.0000000000627146814662381	531.109552888605	TRUE	Hypo	Chrdl2	Chrdl2	FALSE	Hypo_Up
LOC_00008032	1	0.188634714541725	7	0.978446079163814	0.0000000000495658093595869	8045.95959788843	TRUE	Hyper	Vinc	Vinc	TRUE	Hyper_Up
LOC_00002752	4	-0.0245233306743847	23	-0.882616476393041	0.0000000460532498260229	6157.39704412821	TRUE	Hypo	MEGF6	MEGF6	TRUE	Hypo_Down
LOC_00015274	1	-0.227386458656424	4	-0.855479248983287	0.012362592210679	230.774243446574	TRUE	Hypo	BAG4	BAG4	TRUE	Hypo_Down
LOC_00005184	1	-0.208347013802287	8	0.843348983485262	0.000000000000447716092367259	6824.04042350245	TRUE	Hypo	Pdlim5	Pdlim5	FALSE	Hypo_Up
LOC_00010896	1	-0.220091988517198	4	-0.805660352213008	0.0000000000125834368529771	4030.64994817644	TRUE	Hypo	slc12a9	slc12a9	TRUE	Hypo_Down
XLOC_042296U_lncRNA	1	-0.259979913497732	4	-0.804095192554095	0.00346754134026855	102.415356741506	TRUE	Hypo		XLOC_042296U_lncRNA	TRUE	Hypo_Down
LOC_00009883	1	0.184868873764251	8	0.798149274691213	0.0343533002300773	76.5133119098261	TRUE	Hyper		LOC_00009883	TRUE	Hyper_Up
LOC_00019998	1	-0.180206927429814	13	0.775105945929323	0.00000000195341152059903	932.304179980713	TRUE	Hypo	ABCG1	ABCG1	FALSE	Hypo_Up
LOC_00014141	1	-0.278903097414084	6	0.758602740789637	0.0000425661179189546	176.479539743483	TRUE	Hypo		LOC_00014141	FALSE	Hypo_Up
LOC_00014010	1	0.263460954196895	4	-0.753186014999649	0.0135116148614631	67.3953988424544	TRUE	Hyper	SLC5A6	SLC5A6	FALSE	Hyper_Down
LOC_00005690	1	-0.196326439565308	17	-0.750129185894751	0.00156475550926175	115.247473532832	TRUE	Hypo		LOC_00005690	TRUE	Hypo_Down
LOC_00010274	1	0.23176640338464	4	0.723281004391404	0.00448176578461009	118.462780800797	TRUE	Hyper	Tmprss9	Tmprss9	TRUE	Hyper_Up
LOC_00023028	1	0.307861006697707	5	0.71606321533815	0.000109938637915578	1030.21972821574	TRUE	Hyper	ungD	ungD	TRUE	Hyper_Up
LOC_00014142	1	-0.278903097414084	6	0.693520029267197	0.000000000764009210624647	716.52782421111	TRUE	Hypo	PSKH1	PSKH1	FALSE	Hypo_Up
LOC_00024979	1	-0.235459462853991	15	-0.672779708015248	0.00335859015574327	255.689697372142	TRUE	Hypo	CG7766	CG7766	TRUE	Hypo_Down
LOC_00005965	2	0.223077869685674	9	-0.668401348609267	0.000543089277170922	3860.32218420535	TRUE	Hyper	TIPARP	TIPARP	FALSE	Hyper_Down
LOC_00003875	1	-0.209728433898209	16	-0.64458065655024	0.000672412505436022	444.825385926656	TRUE	Hypo	Wdr64	Wdr64	TRUE	Hypo_Down
LOC_00006347	1	-0.203792243719276	4	0.636042501975998	0.000000000501854207539884	1579.99802737151	TRUE	Hypo	Adam12	Adam12	FALSE	Hypo_Up
LOC_00006434	1	0.222921395942753	4	-0.635119347714333	0.0156181337781747	2825.0892870978	TRUE	Hyper	DTX3	DTX3	FALSE	Hyper_Down
LOC_00025890	2	0.086337037217048	13	0.6263686288715	0.000000412577590187911	2058.39173392938	TRUE	Hyper	myoI	myoI	TRUE	Hyper_Up
LOC_00006671	1	0.247779024031614	9	0.622961634518674	0.000416923666758078	245.911492385632	TRUE	Hyper	FURIN	FURIN	TRUE	Hyper_Up
LOC_00017398	1	0.192826293159514	18	-0.617730055992531	0.01878267886323	128.054356884013	TRUE	Hyper	RTase	RTase	FALSE	Hyper_Down
LOC_00009255	1	-0.294278116550738	10	0.601377550353044	0.00393333535346164	507.462182802317	TRUE	Hypo	Rgs3	Rgs3	FALSE	Hypo_Up
LOC_00000055	1	0.222595005186415	6	0.600240800012867	0.0000530112698190225	1637.77414370978	TRUE	Hyper	y	y	TRUE	Hyper_Up
LOC_00022866	1	-0.226542313650176	5	0.580858354134413	0.0130198142189423	92.6307571720732	TRUE	Hypo		LOC_00022866	FALSE	Hypo_Up
LOC_00012642	1	0.195941844285968	6	-0.573167570469365	0.00134521965359283	211.912848125393	TRUE	Hyper	SSX2IP	SSX2IP	FALSE	Hyper_Down
