gene_id	n_dmr	mean_dmr_diff	total_cpgs	log2FoldChange	padj	baseMean	de	meth_direction	gene_name
LOC_00004122	1	-0.284152419465521	4	0.0248834159625616	0.812905852436343	1467.4746569826	FALSE	Hypo	ITPKA
LOC_00004164	1	0.263490498153048	8	-0.026858076236421	0.875356019298024	755.309528907392	FALSE	Hyper	AXOR
LOC_00004165	1	0.263490498153048	8	0.0881944822115521	0.513636508048904	1023.48996793039	FALSE	Hyper	ndufaf5
LOC_00004244	1	-0.262595772637714	9	-0.100360969049879	0.466147274896061	663.503146636161	FALSE	Hypo	Tdp1
LOC_00004252	1	-0.205881648068195	4	0.0569175715503854	0.685347518910383	53.3287529885555	FALSE	Hypo	CHIA
LOC_00004256	1	0.260620534617729	6	0.0161041007037576	0.927043186244034	109.170536736035	FALSE	Hyper	
LOC_00004257	1	0.260620534617729	6	-0.0350256286035525	0.825884641071347	29182.8663324179	FALSE	Hyper	Hsp83
LOC_00004263	1	0.330785611980434	6	0.00249266699685149	0.984083687172377	266.387862154466	FALSE	Hyper	DHRS7
LOC_00004264	1	0.330785611980434	6	0.00661710087618609	0.972352984962793	130.043800213485	FALSE	Hyper	ABCC1
LOC_00004320	1	-0.39072306864322	4	0.00383306410429195	0.983970327794905	348.907180625602	FALSE	Hypo	SLC39A10
LOC_00004331	1	-0.21015074289741	5	0.399465550368455	0.00727624748635399	877.571674308672	TRUE	Hypo	IHH
LOC_00004332	1	-0.21015074289741	5	0.225988142966112	0.0747370932042091	11216.8790555017	FALSE	Hypo	
LOC_00004351	1	-0.194587602791594	12	0.0777441801657577	0.617226167239978	209.907810066658	FALSE	Hypo	SPMAP1
LOC_00004388	1	0.206800464431821	17	-0.0425627625850899	0.795952939728524	810.941726256647	FALSE	Hyper	MLX
LOC_00004394	1	0.234868613319776	4	-0.019585819933425	0.907194417396601	2818.65536465796	FALSE	Hyper	zmcm6
LOC_00004410	1	0.228568674977349	14	0.215133791084763	0.218135053605783	419.311938421443	FALSE	Hyper	
LOC_00004418	1	-0.204301158312459	16	-0.203161851957582	0.203084631990036	759.624619830499	FALSE	Hypo	
LOC_00004428	1	0.179593300930223	20	-0.0107951338822268	0.950163353510878	1394.94585673022	FALSE	Hyper	mettl24
LOC_00004436	2	0.331613302795331	16	0.457942308666344	0.0283254163499646	9145.22540673063	TRUE	Hyper	Cubn
LOC_00004437	1	0.299028601534681	12	-0.00595594669516427	0.9642612929247	490.593151272356	FALSE	Hyper	EGF-like
LOC_00004468	1	-0.224375286553781	7	0.0270958745469208	0.877322165355501	672.792631124921	FALSE	Hypo	cdca8
LOC_00004522	1	-0.268798854938339	14	-0.0854651488837391	0.580470724514011	1398.44690563709	FALSE	Hypo	
LOC_00004523	1	-0.268798854938339	14	0.200869123242418	0.232834267242642	63.1657091188875	FALSE	Hypo	
LOC_00004524	1	-0.268798854938339	14	0.0139782972882109	0.932779941143323	85.9044957730799	FALSE	Hypo	
LOC_00004595	1	-0.244818725125278	9	-0.183159034533004	0.216503296815748	244.872880455847	FALSE	Hypo	C38C10.2
LOC_00004630	1	-0.305845128900356	11	0.133361412782185	0.401959084656722	980.958022266205	FALSE	Hypo	MTRR
LOC_00004651	1	-0.273817079931791	4	-0.341278263716381	0.0783864675416315	1234.56510094109	FALSE	Hypo	PCBP3
LOC_00004710	2	0.028917498120601	21	0.124737881170079	0.33757587094363	4287.72355055379	FALSE	Hyper	CLASP1
LOC_00004730	1	-0.20520102506534	4	0.2030850677261	0.0963328756589315	2615.83338986882	FALSE	Hypo	rdx
LOC_00004731	1	-0.20520102506534	4	0.0228349377684965	0.890979305626192	185.62862962022	FALSE	Hypo	
LOC_00004732	1	-0.20520102506534	4	0.0384945932361711	0.819091290754907	485.868896419513	FALSE	Hypo	kidins220b
LOC_00004733	1	-0.20520102506534	4	0.11915504300444	0.448041090458832	163.874944995218	FALSE	Hypo	
LOC_00004804	1	0.181946964365581	4	0.212206213433434	0.118185411998842	2571.71693894708	FALSE	Hyper	AIMP2
LOC_00004812	1	-0.203644484071208	7	-0.212298032062893	0.148092154049807	15948.6934714413	FALSE	Hypo	SLC26A11
LOC_00004813	2	-0.214550856909252	12	0.421261320743816	0.000180857537320385	2846.5781515264	TRUE	Hypo	pan
LOC_00004815	1	-0.219301387455025	12	0.234752290163923	0.0911028189134908	12251.7140551969	FALSE	Hypo	LLGL2
LOC_00004829	1	0.229853688212141	6	0.102286478362069	0.441195135071582	615.636440997104	FALSE	Hyper	Alkbh5
LOC_00004830	1	0.229853688212141	6	0.0831679691323892	0.560076872364639	543.382680213735	FALSE	Hyper	dtwd1
LOC_00004864	1	0.190305274720252	7	0.00454638401762209	0.980826144365304	686.825484056691	FALSE	Hyper	Lmtk3
LOC_00004868	1	0.190305274720252	7	0.0615191598410724	0.644178764288713	1452.54801627406	FALSE	Hyper	Wdr13
