tf_upper	yin_source	yin_call	yin_enrichment	mm_class	mm_high	mm_low	mm_cell	final_call	sources_agree
SOX5				MethylMinus	0.014	0.798	HepG2	MethylMinus	
SP1	DBD	MethylPlus	0.28295362	MethylMinus	0.0175	0.9124	GM12878	MethylPlus	FALSE
SP2	DBD	MethylPlus	0.58444893	MethylMinus	0.023	0.8547	HEK293	MethylPlus	FALSE
SP3	DBD	Little effect	-0.26027393	MethylMinus	0.0108	0.9137	HEK293	Little effect	FALSE
SP4				MethylMinus	0	0.935	H1-hESC	MethylMinus	
SP5				MethylMinus	0.0107	0.8331	HepG2	MethylMinus	
SPDEF	DBD	MethylMinus	-0.95714279					MethylMinus	
SPI1				MethylMinus	0.0167	0.7351	GM12878	MethylMinus	
SPIB	DBD	MethylMinus	-0.49579842					MethylMinus	
SREBF1	DBD	MethylMinus	-0.37499992	MethylMinus	0.0118	0.8732	MCF-7	MethylMinus	TRUE
SRF				MethylMinus	0.0455	0.6103	GM12878	MethylMinus	
TAF1				MethylMinus	0.0179	0.7245	H1-hESC	MethylMinus	
TAL1				MethylMinus	0.0014	0.869	K562	MethylMinus	
TBX20	FL_only	MethylPlus	0.62881588					MethylPlus	
TCF12				MethylMinus	0	0.8957	K562	MethylMinus	
TCF3				MethylMinus	0.0215	0.857	GM12878	MethylMinus	
TCF4	DBD	MethylMinus	-0.33333336					MethylMinus	
TCF7				MethylMinus	0	0.8224	HepG2	MethylMinus	
TCF7L1	DBD	MethylMinus	-0.42023499					MethylMinus	
TCF7L2				Intermediate	0.1174	0.5541	LNCaP	Intermediate	
TCFL5	DBD	MethylMinus	-0.93733582					MethylMinus	
TEAD4				Intermediate	0.0543	0.2696	H1-hESC	Intermediate	
TFAP2A				MethylMinus	0.0184	0.6534	MCF-7	MethylMinus	
TFAP2C				Intermediate	0.0671	0.5582	MCF-7	Intermediate	
TFAP4				MethylMinus	0.0208	0.8651	HepG2	MethylMinus	
TFCP2	DBD	MethylPlus	0.39344261					MethylPlus	
TFCP2L1	DBD	MethylPlus	0.42176891					MethylPlus	
TFDP1				MethylMinus	0	0.9772	K562	MethylMinus	
TFE3	DBD	MethylMinus	-0.17532915					MethylMinus	
TFEC	DBD	MethylMinus	-0.14112556					MethylMinus	
TGIF2LX	DBD	MethylPlus	0.51578949					MethylPlus	
TGIF2LY	DBD	MethylPlus	0.54999985					MethylPlus	
THAP1				MethylMinus	0	0.9447	K562	MethylMinus	
THRA				MethylMinus	0.0839	0.7098	K562	MethylMinus	
THRB	DBD	MethylPlus						MethylPlus	
TP53				Intermediate	0.218	0.4163	MCF-7	Intermediate	
TP73				Intermediate	0.0741	0.5476	GM12878	Intermediate	
TRIM22				MethylMinus	0.0012	0.9657	MCF-7	MethylMinus	
UBP1	DBD	MethylPlus	0.15079367					MethylPlus	
UNCX	DBD	MethylPlus	0.92307709					MethylPlus	
USF1	FL_only	MethylMinus	-0.3634259	Intermediate	0.2315	0.2626	H1-hESC	MethylMinus	FALSE
USF2	DBD	MethylMinus	-0.46524059	MethylMinus	0.0223	0.7576	IMR-90	MethylMinus	TRUE
