tf	id	cell	disease	n_cpg_positions	total_cpg_observations	mean_frac_high_meth	mean_frac_low_meth	max_frac_high_at_any_pos	motif_width	methmotif_class
SOX2	MM1_HSA_H1-hESC_SOX2	H1-hESC	normal	6	249	0.0444	0.3899	0.1111	19	Intermediate
SOX5	MM1_HSA_HepG2_SOX5	HepG2	tumor	2	180	0.014	0.798	0.028	11	MethylMinus
SP1	MM1_HSA_GM12878_SP1	GM12878	normal	1	742	0.0175	0.9124	0.0175	8	MethylMinus
SP2	MM1_HSA_HEK293_SP2	HEK293	normal	9	10781	0.023	0.8547	0.0427	15	MethylMinus
SP3	MM1_HSA_HEK293_SP3	HEK293	normal	7	11311	0.0108	0.9137	0.0204	15	MethylMinus
SP4	MM1_HSA_H1-hESC_SP4	H1-hESC	normal	4	226	0	0.935	0	15	MethylMinus
SP5	MM1_HSA_HepG2_SP5	HepG2	tumor	5	3347	0.0107	0.8331	0.0406	11	MethylMinus
SPI1	MM1_HSA_GM12878_SPI1	GM12878	normal	14	2353	0.0167	0.7351	0.0584	18	MethylMinus
SREBF1	MM1_HSA_MCF-7_SREBF1	MCF-7	tumor	4	1134	0.0118	0.8732	0.0261	11	MethylMinus
SRF	MM1_HSA_GM12878_SRF	GM12878	normal	5	144	0.0455	0.6103	0.1034	14	MethylMinus
TAF1	MM1_HSA_H1-hESC_TAF1	H1-hESC	normal	2	245	0.0179	0.7245	0.0357	11	MethylMinus
TAL1	MM1_HSA_K562_TAL1	K562	tumor	8	547	0.0014	0.869	0.0109	16	MethylMinus
TCF12	MM1_HSA_K562_TCF12	K562	tumor	13	896	0	0.8957	0	19	MethylMinus
TCF3	MM1_HSA_GM12878_TCF3	GM12878	normal	3	142	0.0215	0.857	0.04	10	MethylMinus
TCF7	MM1_HSA_HepG2_TCF7	HepG2	tumor	3	95	0	0.8224	0	11	MethylMinus
TCF7L2	MM1_HSA_LNCaP_TCF7L2	LNCaP 	tumor	4	383	0.1174	0.5541	0.1406	11	Intermediate
TEAD4	MM1_HSA_H1-hESC_TEAD4	H1-hESC	normal	5	308	0.0543	0.2696	0.0833	11	Intermediate
TFAP2A	MM1_HSA_MCF-7_TFAP2A	MCF-7	tumor	11	5259	0.0184	0.6534	0.0575	15	MethylMinus
TFAP2C	MM1_HSA_MCF-7_TFAP2C	MCF-7	tumor	6	5272	0.0671	0.5582	0.1504	11	Intermediate
TFAP4	MM1_HSA_HepG2_TFAP4	HepG2	tumor	4	269	0.0208	0.8651	0.0588	11	MethylMinus
TFDP1	MM1_HSA_K562_TFDP1	K562	tumor	9	772	0	0.9772	0	19	MethylMinus
THAP1	MM1_HSA_K562_THAP1	K562	tumor	3	93	0	0.9447	0	20	MethylMinus
THRA	MM1_HSA_K562_THRA	K562	tumor	2	24	0.0839	0.7098	0.0909	19	MethylMinus
TP53	MM1_HSA_MCF-7_TP53	MCF-7	tumor	4	105	0.218	0.4163	0.3929	20	Intermediate
TP73	MM1_HSA_GM12878_TP73	GM12878	normal	9	377	0.0741	0.5476	0.1304	19	Intermediate
TRIM22	MM1_HSA_MCF-7_TRIM22	MCF-7	tumor	11	8899	0.0012	0.9657	0.0113	15	MethylMinus
USF1	MM1_HSA_H1-hESC_USF1	H1-hESC	normal	8	3950	0.2315	0.2626	0.3182	14	Intermediate
USF2	MM1_HSA_IMR-90_USF2	IMR-90	normal	8	8209	0.0223	0.7576	0.0377	14	MethylMinus
VDR	MM1_HSA_LNCaP_VDR	LNCaP 	tumor	5	257	0.0583	0.739	0.1562	15	MethylMinus
VEZF1	MM1_HSA_K562_VEZF1	K562	tumor	3	184	0	0.868	0	11	MethylMinus
WIZ	MM1_HSA_HEK293T_WIZ	HEK293T	normal	4	199	0.4796	0.0271	0.5806	21	MethylPlus
WT1	MM1_HSA_HEK293_WT1	HEK293	normal	20	14675	0.052	0.7612	0.072	21	MethylMinus
YY1	MM1_HSA_K562_YY1	K562	tumor	6	2066	0.0291	0.7103	0.0476	13	MethylMinus
YY2	MM1_HSA_HEK293_YY2	HEK293	normal	8	3298	0.0186	0.9138	0.0476	15	MethylMinus
ZBTB12	MM1_HSA_HEK293_ZBTB12	HEK293	normal	5	151	0.0893	0.7081	0.1429	11	MethylMinus
ZBTB2	MM1_HSA_GM12878_ZBTB2	GM12878	normal	18	11067	0.0316	0.7318	0.1429	21	MethylMinus
ZBTB20	MM1_HSA_HEK293_ZBTB20	HEK293	normal	10	2244	0.0309	0.7908	0.0877	15	MethylMinus
ZBTB21	MM1_HSA_HEK293_ZBTB21	HEK293	normal	4	2639	0.0634	0.7061	0.1625	11	MethylMinus
ZBTB33	MM1_HSA_SK-N-SH_ZBTB33	SK-N-SH	tumor	10	1759	0	0.9289	0	15	MethylMinus
ZBTB40	MM1_HSA_K562_ZBTB40	K562	tumor	10	431	0.1156	0.4771	0.2208	21	Intermediate
ZBTB44	MM1_HSA_HEK293_ZBTB44	HEK293	normal	3	89	0.0559	0.648	0.0909	11	MethylMinus
ZBTB5	MM1_HSA_K562_ZBTB5	K562	tumor	7	226	0	0.844	0	21	MethylMinus
ZBTB6	MM1_HSA_HEK293_ZBTB6	HEK293	normal	9	2449	0.1282	0.6881	0.25	15	MethylMinus
ZBTB7A	MM1_HSA_K562_ZBTB7A	K562	tumor	1	35	0.0286	0.7429	0.0286	8	MethylMinus
ZBTB7B	MM1_HSA_MCF-7_ZBTB7B	MCF-7	tumor	1	22	0.0909	0.2727	0.0909	15	Intermediate
