gene_id	n_cpgs	mean_ctrl_entropy	mean_ampu_entropy	mean_delta_entropy	mean_ctrl_beta	mean_ampu_beta	p_wilcox	expression	padj	entropy_class
LOC_00006604	119	0.0186139009889102	0.0156457785134773	-0.00296812247543292	0.00280411557997283	0.00242323013578575	0.903068008649656	1.54770310857056	0.991711402800584	NS
LOC_00006605	1893	0.142776463826037	0.142846441945906	0.0000699781198688355	0.211043159198694	0.213449680413906	0.903256747066697	10.6384308073298	0.991711402800584	NS
LOC_00006606	156	0.547098589940424	0.539124607446048	-0.00797398249437611	0.826228172879495	0.838962846093916	0.378708470833393	2.45085376928337	0.801420252097197	NS
LOC_00006607	3	0.833722708240775	0.769021515308779	-0.0647011929319964	0.67827380952381	0.736046741929095		3.74982174833479		
LOC_00006608	1884	0.203472329642244	0.202823220356806	-0.000649109285438357	0.286180990664194	0.288670220608788	0.969575850496856	4.28586719408869	1	NS
LOC_00006609	1057	0.0764117339135382	0.0666189810563498	-0.00979275285718837	0.14225682043986	0.139992736165171	0.0402004909739909	4.40906360868204	0.398200865740006	NS
LOC_00006610	570	0.268613434844445	0.231041136997554	-0.0375722978468908	0.92247974327667	0.932905779862863	0.0000988483937931793	5.37444032851344	0.020081556657824	Entropy_Down
LOC_00006611	262	0.477773974615822	0.452431729170202	-0.0253422454456197	0.800245963346454	0.807630485904384	0.0448851403016328	5.60961217777145	0.415203752573284	NS
LOC_00006612	4603	0.0193601219675823	0.0187183384795457	-0.000641783488036612	0.00328320148384535	0.00299861773232876	0.677118718248292	5.01224661742115	0.932473381828751	NS
LOC_00006613	741	0.351676366259924	0.365230563450362	0.0135541971904377	0.898745455847842	0.89600623904492	0.0968815018207212	9.03765395376169	0.534329651846636	NS
LOC_00006614	442	0.298342877891029	0.287795876537042	-0.0105470013539865	0.898838234012958	0.90130839323843	0.429131700621903	8.57228119017643	0.826656298418961	NS
LOC_00006615	182	0.36351809722559	0.349944507669594	-0.0135735895559956	0.863708933128306	0.857836717522518	0.51151930185777	4.94294478810464	0.866754207663466	NS
LOC_00006616	326	0.0277500431351827	0.0190027358428345	-0.00874730729234817	0.00462607055033419	0.00306544994255603	0.0850059568477729	0.932623939810295	0.509079637857729	NS
