gene_id	n_cpgs	mean_ctrl_entropy	mean_ampu_entropy	mean_delta_entropy	mean_ctrl_beta	mean_ampu_beta	p_wilcox	expression	padj	entropy_class	n_exons	gene_class
LOC_00012626	280	0.451298443035152	0.408957082660282	-0.0423413603748696	0.818279407335069	0.837040617885753	0.00013507867468711	7.79122097294026	0.0251329277963884	Entropy_Down	128	3+ exon
LOC_00004428	491	0.4082137743552	0.366085846517555	-0.0421279278376456	0.857255189112694	0.864705269658321	0.000394547847695879	7.75937327397993	0.0467528178630016	Entropy_Down	23	3+ exon
LOC_00012082	430	0.284104437913246	0.242334156587015	-0.0417702813262317	0.912191385135451	0.920831621360718	0.0000598444285677646	9.48611556599973	0.016256504963499	Entropy_Down	18	3+ exon
LOC_00002705	432	0.501877128592184	0.46056546816606	-0.0413116604261236	0.810278671042435	0.827599772693563	0.000341277187199963	7.18946802222404	0.0434705515751754	Entropy_Down	26	3+ exon
LOC_00004228	417	0.488736180746365	0.447954418196766	-0.0407817625495986	0.832492645960205	0.845968887367221	0.000327167710586732	6.85499687952261	0.0424480268102882	Entropy_Down	10	3+ exon
LOC_00009586	488	0.584275772559684	0.543951962237275	-0.0403238103224092	0.781190607355421	0.795670258335238	0.0000861755210759607	6.09927833234679	0.0191897889646435	Entropy_Down	23	3+ exon
LOC_00016495	409	0.470704861423781	0.430642112639749	-0.0400627487840318	0.817022609568261	0.842175586277775	0.0000863850181939439	4.65773070983097	0.0191897889646435	Entropy_Down	12	3+ exon
LOC_00009817	403	0.533288887897043	0.493486496679122	-0.0398023912179212	0.822460334613619	0.841015343425582	0.0000239606716804955	5.16434341769136	0.00958924164179228	Entropy_Down	35	3+ exon
LOC_00012380	533	0.320674612121399	0.281020442758648	-0.0396541693627511	0.383305928923621	0.384739235369541	0.0000649292660376629	4.43194300951699	0.0170778603329288	Entropy_Down	28	3+ exon
LOC_00007479	300	0.0935718130535416	0.054267265493717	-0.0393045475598246	0.068637462576986	0.0582636603374684	0.000315449017085013	4.6226768170933	0.0420816924615736	Entropy_Down	20	3+ exon
LOC_00021094	615	0.404317273076397	0.36503793051024	-0.0392793425661569	0.613849577119784	0.61686664509928	0.000168627342061967	7.65663553766884	0.0283869408926697	Entropy_Down	93	3+ exon
LOC_00012548	1213	0.286690173359379	0.247444109440348	-0.0392460639190317	0.535044842778589	0.543001685693716	0.000000000106939782006609	9.53838620497889	0.000000756099905380728	Entropy_Down	140	3+ exon
LOC_00011589	318	0.693504628592226	0.65580309293019	-0.0377015356620354	0.712465639818654	0.72823389326597	0.000164385202492988	6.39464835326345	0.0278941962406302	Entropy_Down	16	3+ exon
LOC_00025296	657	0.347187277635083	0.309496685556653	-0.0376905920784299	0.40831790775191	0.415952088640677	0.000000150689934124695	4.40490893459639	0.000266357016059909	Entropy_Down	59	3+ exon
LOC_00006610	570	0.268613434844445	0.231041136997554	-0.0375722978468908	0.92247974327667	0.932905779862863	0.0000988483937931793	5.37444032851344	0.020081556657824	Entropy_Down	6	3+ exon
LOC_00023647	513	0.265897007952834	0.229023358214871	-0.0368736497379628	0.917864078636678	0.929288299564607	0.000419063843527332	6.88366911105864	0.0491091888677251	Entropy_Down	49	3+ exon
LOC_00016862	656	0.317207344091808	0.2804988021956	-0.0367085418962079	0.892563694195801	0.904811128414284	0.000163986818285864	5.90543199365758	0.0278941962406302	Entropy_Down	24	3+ exon
LOC_00009765	331	0.0724136964214052	0.0358096530899863	-0.0366040433314189	0.0165930985021475	0.00965215386426913	0.000105689002380027	1.40418418172617	0.0209511161633902	Entropy_Down	47	3+ exon
LOC_00019157	863	0.408472007700477	0.372948577726055	-0.035523429974422	0.867558659641681	0.882013533882575	0.00000791540024765449	5.89972017791187	0.00479310379338573	Entropy_Down	76	3+ exon
LOC_00025204	624	0.549394865020066	0.5142944506169	-0.035100414403166	0.798433157057634	0.817950528108275	0.0000868520928106065	3.82695176490646	0.0191897889646435	Entropy_Down	16	3+ exon
